"","title","geo_accession","status","submission_date","last_update_date","type","channel_count","source_name_ch1","organism_ch1","characteristics_ch1","characteristics_ch1.1","characteristics_ch1.2","growth_protocol_ch1","molecule_ch1","extract_protocol_ch1","label_ch1","label_protocol_ch1","taxid_ch1","hyb_protocol","scan_protocol","description","data_processing","platform_id","contact_name","contact_email","contact_phone","contact_laboratory","contact_department","contact_institute","contact_address","contact_city","contact_state","contact_zip/postal_code","contact_country","supplementary_file","data_row_count","cell line:ch1","cell type:ch1","sample type:ch1"
"GSM2283811","HL-60_exo-1","GSM2283811","Public on Aug 18 2016","Aug 17 2016","Aug 18 2016","RNA","1","HL-60 extracellular vesicles","Homo sapiens","cell line: HL-60","cell type: malignant myeloid cell line","sample type: extracellular vesicles","Human CD34+ cord-blood progenitors (New York Blood Center) were enriched using MACS cell separation (Miltenyi Biotec) and cultured in serum-free media (Stem Cell Technologies) supplemented with 100U/ml penicillin/streptomycin, 40ng/ml FLT3L, 25ng/ml SCF, and 50ng/ml TPO (Miltenyi Biotec) at 1% oxygen and 5% carbon dioxide for 48h, after which exosomes were isolated by differential centrifugation. HL-60 and MOLM-14 cell lines were cultured at 1% oxygen and 5% carbon dioxide in RPMI + 10% FBS and 1X Pen-Strep for 48 hours, after which extracellular vesicles were isolated by differential centrifugation.","total RNA","Total RNA was extracted using the Qiagen miRNeasy kit according to the manufacturer's instructions.","biotin","Biotinylated RNA was prepared using Affymetrix HSR miRNA Flash Tag Biotin protocol with 130 ng total RNA input","9606","Hybridizations were performed as per Affymetrix FlashTag Biotin HSR RNA Labeling Kit User Guide with incubation at 48掳C/ 60 rpm for 18 hours. Arrays were washed and stained on Fluidics Station 450 using script FS450_0002","Standard Affymetrix scan protocol using GeneChip Scanner 3000 7G","HE1","Data were analyzed with Partek Genomics Suite(v.6.6) using the RMA normalization method. Four samples from GEO accession GSE55025 (GSM1328048, GSM1328049, GSM1328044, GSM1328045) were included along with twelve new samples for the normalization.","GPL16384","Noah,,Hornick","hornickn@ohsu.edu","503-494-0829","Peter Kurre","Pediatric Hematology Oncology","OHSU","3181 S.W. Sam Jackson Park Rd.","Portland","OR","97239-3098","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2283nnn/GSM2283811/suppl/GSM2283811_001_H1_HE1_603PK.CEL.gz","25119","HL-60","malignant myeloid cell line","extracellular vesicles"
"GSM2283812","HL-60_cel-1","GSM2283812","Public on Aug 18 2016","Aug 17 2016","Aug 18 2016","RNA","1","HL-60 cells","Homo sapiens","cell line: HL-60","cell type: malignant myeloid cell line","sample type: cells","Human CD34+ cord-blood progenitors (New York Blood Center) were enriched using MACS cell separation (Miltenyi Biotec) and cultured in serum-free media (Stem Cell Technologies) supplemented with 100U/ml penicillin/streptomycin, 40ng/ml FLT3L, 25ng/ml SCF, and 50ng/ml TPO (Miltenyi Biotec) at 1% oxygen and 5% carbon dioxide for 48h, after which exosomes were isolated by differential centrifugation. HL-60 and MOLM-14 cell lines were cultured at 1% oxygen and 5% carbon dioxide in RPMI + 10% FBS and 1X Pen-Strep for 48 hours, after which extracellular vesicles were isolated by differential centrifugation.","total RNA","Total RNA was extracted using the Qiagen miRNeasy kit according to the manufacturer's instructions.","biotin","Biotinylated RNA was prepared using Affymetrix HSR miRNA Flash Tag Biotin protocol with 130 ng total RNA input","9606","Hybridizations were performed as per Affymetrix FlashTag Biotin HSR RNA Labeling Kit User Guide with incubation at 48掳C/ 60 rpm for 18 hours. Arrays were washed and stained on Fluidics Station 450 using script FS450_0002","Standard Affymetrix scan protocol using GeneChip Scanner 3000 7G","HC1","Data were analyzed with Partek Genomics Suite(v.6.6) using the RMA normalization method. Four samples from GEO accession GSE55025 (GSM1328048, GSM1328049, GSM1328044, GSM1328045) were included along with twelve new samples for the normalization.","GPL16384","Noah,,Hornick","hornickn@ohsu.edu","503-494-0829","Peter Kurre","Pediatric Hematology Oncology","OHSU","3181 S.W. Sam Jackson Park Rd.","Portland","OR","97239-3098","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2283nnn/GSM2283812/suppl/GSM2283812_002_H1_HC1_603PK.CEL.gz","25119","HL-60","malignant myeloid cell line","cells"
"GSM2283813","MOLM-14_exo-1","GSM2283813","Public on Aug 18 2016","Aug 17 2016","Aug 18 2016","RNA","1","MOLM-14 extracellular vesicles","Homo sapiens","cell line: MOLM-14","cell type: malignant myeloid cell line","sample type: extracellular vesicles","Human CD34+ cord-blood progenitors (New York Blood Center) were enriched using MACS cell separation (Miltenyi Biotec) and cultured in serum-free media (Stem Cell Technologies) supplemented with 100U/ml penicillin/streptomycin, 40ng/ml FLT3L, 25ng/ml SCF, and 50ng/ml TPO (Miltenyi Biotec) at 1% oxygen and 5% carbon dioxide for 48h, after which exosomes were isolated by differential centrifugation. HL-60 and MOLM-14 cell lines were cultured at 1% oxygen and 5% carbon dioxide in RPMI + 10% FBS and 1X Pen-Strep for 48 hours, after which extracellular vesicles were isolated by differential centrifugation.","total RNA","Total RNA was extracted using the Qiagen miRNeasy kit according to the manufacturer's instructions.","biotin","Biotinylated RNA was prepared using Affymetrix HSR miRNA Flash Tag Biotin protocol with 130 ng total RNA input","9606","Hybridizations were performed as per Affymetrix FlashTag Biotin HSR RNA Labeling Kit User Guide with incubation at 48掳C/ 60 rpm for 18 hours. Arrays were washed and stained on Fluidics Station 450 using script FS450_0002","Standard Affymetrix scan protocol using GeneChip Scanner 3000 7G","ME1","Data were analyzed with Partek Genomics Suite(v.6.6) using the RMA normalization method. Four samples from GEO accession GSE55025 (GSM1328048, GSM1328049, GSM1328044, GSM1328045) were included along with twelve new samples for the normalization.","GPL16384","Noah,,Hornick","hornickn@ohsu.edu","503-494-0829","Peter Kurre","Pediatric Hematology Oncology","OHSU","3181 S.W. Sam Jackson Park Rd.","Portland","OR","97239-3098","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2283nnn/GSM2283813/suppl/GSM2283813_003_H1_ME1_603PK.CEL.gz","25119","MOLM-14","malignant myeloid cell line","extracellular vesicles"
"GSM2283814","HL-60_cel-2","GSM2283814","Public on Aug 18 2016","Aug 17 2016","Aug 18 2016","RNA","1","HL-60 cells","Homo sapiens","cell line: HL-60","cell type: malignant myeloid cell line","sample type: cells","Human CD34+ cord-blood progenitors (New York Blood Center) were enriched using MACS cell separation (Miltenyi Biotec) and cultured in serum-free media (Stem Cell Technologies) supplemented with 100U/ml penicillin/streptomycin, 40ng/ml FLT3L, 25ng/ml SCF, and 50ng/ml TPO (Miltenyi Biotec) at 1% oxygen and 5% carbon dioxide for 48h, after which exosomes were isolated by differential centrifugation. HL-60 and MOLM-14 cell lines were cultured at 1% oxygen and 5% carbon dioxide in RPMI + 10% FBS and 1X Pen-Strep for 48 hours, after which extracellular vesicles were isolated by differential centrifugation.","total RNA","Total RNA was extracted using the Qiagen miRNeasy kit according to the manufacturer's instructions.","biotin","Biotinylated RNA was prepared using Affymetrix HSR miRNA Flash Tag Biotin protocol with 130 ng total RNA input","9606","Hybridizations were performed as per Affymetrix FlashTag Biotin HSR RNA Labeling Kit User Guide with incubation at 48掳C/ 60 rpm for 18 hours. Arrays were washed and stained on Fluidics Station 450 using script FS450_0002","Standard Affymetrix scan protocol using GeneChip Scanner 3000 7G","HC2","Data were analyzed with Partek Genomics Suite(v.6.6) using the RMA normalization method. Four samples from GEO accession GSE55025 (GSM1328048, GSM1328049, GSM1328044, GSM1328045) were included along with twelve new samples for the normalization.","GPL16384","Noah,,Hornick","hornickn@ohsu.edu","503-494-0829","Peter Kurre","Pediatric Hematology Oncology","OHSU","3181 S.W. Sam Jackson Park Rd.","Portland","OR","97239-3098","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2283nnn/GSM2283814/suppl/GSM2283814_004_H2_HC2_603PK_miRNA-3_0_.CEL.gz","25119","HL-60","malignant myeloid cell line","cells"
"GSM2283815","HL-60_exo-3","GSM2283815","Public on Aug 18 2016","Aug 17 2016","Aug 18 2016","RNA","1","HL-60 extracellular vesicles","Homo sapiens","cell line: HL-60","cell type: malignant myeloid cell line","sample type: extracellular vesicles","Human CD34+ cord-blood progenitors (New York Blood Center) were enriched using MACS cell separation (Miltenyi Biotec) and cultured in serum-free media (Stem Cell Technologies) supplemented with 100U/ml penicillin/streptomycin, 40ng/ml FLT3L, 25ng/ml SCF, and 50ng/ml TPO (Miltenyi Biotec) at 1% oxygen and 5% carbon dioxide for 48h, after which exosomes were isolated by differential centrifugation. HL-60 and MOLM-14 cell lines were cultured at 1% oxygen and 5% carbon dioxide in RPMI + 10% FBS and 1X Pen-Strep for 48 hours, after which extracellular vesicles were isolated by differential centrifugation.","total RNA","Total RNA was extracted using the Qiagen miRNeasy kit according to the manufacturer's instructions.","biotin","Biotinylated RNA was prepared using Affymetrix HSR miRNA Flash Tag Biotin protocol with 130 ng total RNA input","9606","Hybridizations were performed as per Affymetrix FlashTag Biotin HSR RNA Labeling Kit User Guide with incubation at 48掳C/ 60 rpm for 18 hours. Arrays were washed and stained on Fluidics Station 450 using script FS450_0002","Standard Affymetrix scan protocol using GeneChip Scanner 3000 7G","HE3","Data were analyzed with Partek Genomics Suite(v.6.6) using the RMA normalization method. Four samples from GEO accession GSE55025 (GSM1328048, GSM1328049, GSM1328044, GSM1328045) were included along with twelve new samples for the normalization.","GPL16384","Noah,,Hornick","hornickn@ohsu.edu","503-494-0829","Peter Kurre","Pediatric Hematology Oncology","OHSU","3181 S.W. Sam Jackson Park Rd.","Portland","OR","97239-3098","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2283nnn/GSM2283815/suppl/GSM2283815_005_H1_HE3_603PK.CEL.gz","25119","HL-60","malignant myeloid cell line","extracellular vesicles"
"GSM2283816","HL-60_cel-3","GSM2283816","Public on Aug 18 2016","Aug 17 2016","Aug 18 2016","RNA","1","HL-60 cells","Homo sapiens","cell line: HL-60","cell type: malignant myeloid cell line","sample type: cells","Human CD34+ cord-blood progenitors (New York Blood Center) were enriched using MACS cell separation (Miltenyi Biotec) and cultured in serum-free media (Stem Cell Technologies) supplemented with 100U/ml penicillin/streptomycin, 40ng/ml FLT3L, 25ng/ml SCF, and 50ng/ml TPO (Miltenyi Biotec) at 1% oxygen and 5% carbon dioxide for 48h, after which exosomes were isolated by differential centrifugation. HL-60 and MOLM-14 cell lines were cultured at 1% oxygen and 5% carbon dioxide in RPMI + 10% FBS and 1X Pen-Strep for 48 hours, after which extracellular vesicles were isolated by differential centrifugation.","total RNA","Total RNA was extracted using the Qiagen miRNeasy kit according to the manufacturer's instructions.","biotin","Biotinylated RNA was prepared using Affymetrix HSR miRNA Flash Tag Biotin protocol with 130 ng total RNA input","9606","Hybridizations were performed as per Affymetrix FlashTag Biotin HSR RNA Labeling Kit User Guide with incubation at 48掳C/ 60 rpm for 18 hours. Arrays were washed and stained on Fluidics Station 450 using script FS450_0002","Standard Affymetrix scan protocol using GeneChip Scanner 3000 7G","HC3","Data were analyzed with Partek Genomics Suite(v.6.6) using the RMA normalization method. Four samples from GEO accession GSE55025 (GSM1328048, GSM1328049, GSM1328044, GSM1328045) were included along with twelve new samples for the normalization.","GPL16384","Noah,,Hornick","hornickn@ohsu.edu","503-494-0829","Peter Kurre","Pediatric Hematology Oncology","OHSU","3181 S.W. Sam Jackson Park Rd.","Portland","OR","97239-3098","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2283nnn/GSM2283816/suppl/GSM2283816_006_H1_HC3_603PK.CEL.gz","25119","HL-60","malignant myeloid cell line","cells"
"GSM2283817","HL-60_exo-2","GSM2283817","Public on Aug 18 2016","Aug 17 2016","Aug 18 2016","RNA","1","HL-60 extracellular vesicles","Homo sapiens","cell line: HL-60","cell type: malignant myeloid cell line","sample type: extracellular vesicles","Human CD34+ cord-blood progenitors (New York Blood Center) were enriched using MACS cell separation (Miltenyi Biotec) and cultured in serum-free media (Stem Cell Technologies) supplemented with 100U/ml penicillin/streptomycin, 40ng/ml FLT3L, 25ng/ml SCF, and 50ng/ml TPO (Miltenyi Biotec) at 1% oxygen and 5% carbon dioxide for 48h, after which exosomes were isolated by differential centrifugation. HL-60 and MOLM-14 cell lines were cultured at 1% oxygen and 5% carbon dioxide in RPMI + 10% FBS and 1X Pen-Strep for 48 hours, after which extracellular vesicles were isolated by differential centrifugation.","total RNA","Total RNA was extracted using the Qiagen miRNeasy kit according to the manufacturer's instructions.","biotin","Biotinylated RNA was prepared using Affymetrix HSR miRNA Flash Tag Biotin protocol with 130 ng total RNA input","9606","Hybridizations were performed as per Affymetrix FlashTag Biotin HSR RNA Labeling Kit User Guide with incubation at 48掳C/ 60 rpm for 18 hours. Arrays were washed and stained on Fluidics Station 450 using script FS450_0002","Standard Affymetrix scan protocol using GeneChip Scanner 3000 7G","HE2","Data were analyzed with Partek Genomics Suite(v.6.6) using the RMA normalization method. Four samples from GEO accession GSE55025 (GSM1328048, GSM1328049, GSM1328044, GSM1328045) were included along with twelve new samples for the normalization.","GPL16384","Noah,,Hornick","hornickn@ohsu.edu","503-494-0829","Peter Kurre","Pediatric Hematology Oncology","OHSU","3181 S.W. Sam Jackson Park Rd.","Portland","OR","97239-3098","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2283nnn/GSM2283817/suppl/GSM2283817_007_H1_HE2_603PK.CEL.gz","25119","HL-60","malignant myeloid cell line","extracellular vesicles"
"GSM2283818","MOLM-14_cel-1","GSM2283818","Public on Aug 18 2016","Aug 17 2016","Aug 18 2016","RNA","1","MOLM-14 cells","Homo sapiens","cell line: MOLM-14","cell type: malignant myeloid cell line","sample type: cells","Human CD34+ cord-blood progenitors (New York Blood Center) were enriched using MACS cell separation (Miltenyi Biotec) and cultured in serum-free media (Stem Cell Technologies) supplemented with 100U/ml penicillin/streptomycin, 40ng/ml FLT3L, 25ng/ml SCF, and 50ng/ml TPO (Miltenyi Biotec) at 1% oxygen and 5% carbon dioxide for 48h, after which exosomes were isolated by differential centrifugation. HL-60 and MOLM-14 cell lines were cultured at 1% oxygen and 5% carbon dioxide in RPMI + 10% FBS and 1X Pen-Strep for 48 hours, after which extracellular vesicles were isolated by differential centrifugation.","total RNA","Total RNA was extracted using the Qiagen miRNeasy kit according to the manufacturer's instructions.","biotin","Biotinylated RNA was prepared using Affymetrix HSR miRNA Flash Tag Biotin protocol with 130 ng total RNA input","9606","Hybridizations were performed as per Affymetrix FlashTag Biotin HSR RNA Labeling Kit User Guide with incubation at 48掳C/ 60 rpm for 18 hours. Arrays were washed and stained on Fluidics Station 450 using script FS450_0002","Standard Affymetrix scan protocol using GeneChip Scanner 3000 7G","MC1","Data were analyzed with Partek Genomics Suite(v.6.6) using the RMA normalization method. Four samples from GEO accession GSE55025 (GSM1328048, GSM1328049, GSM1328044, GSM1328045) were included along with twelve new samples for the normalization.","GPL16384","Noah,,Hornick","hornickn@ohsu.edu","503-494-0829","Peter Kurre","Pediatric Hematology Oncology","OHSU","3181 S.W. Sam Jackson Park Rd.","Portland","OR","97239-3098","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2283nnn/GSM2283818/suppl/GSM2283818_008_H1_MC1_603PK.CEL.gz","25119","MOLM-14","malignant myeloid cell line","cells"
"GSM2283819","CD34_cel-1","GSM2283819","Public on Aug 18 2016","Aug 17 2016","Aug 18 2016","RNA","1","CD34 cells","Homo sapiens","cell type: CD34+ human hematopoietic progenitor cells","sample type: cells","","Human CD34+ cord-blood progenitors (New York Blood Center) were enriched using MACS cell separation (Miltenyi Biotec) and cultured in serum-free media (Stem Cell Technologies) supplemented with 100U/ml penicillin/streptomycin, 40ng/ml FLT3L, 25ng/ml SCF, and 50ng/ml TPO (Miltenyi Biotec) at 1% oxygen and 5% carbon dioxide for 48h, after which exosomes were isolated by differential centrifugation. HL-60 and MOLM-14 cell lines were cultured at 1% oxygen and 5% carbon dioxide in RPMI + 10% FBS and 1X Pen-Strep for 48 hours, after which extracellular vesicles were isolated by differential centrifugation.","total RNA","Total RNA was extracted using the Qiagen miRNeasy kit according to the manufacturer's instructions.","biotin","Biotinylated RNA was prepared using Affymetrix HSR miRNA Flash Tag Biotin protocol with 130 ng total RNA input","9606","Hybridizations were performed as per Affymetrix FlashTag Biotin HSR RNA Labeling Kit User Guide with incubation at 48掳C/ 60 rpm for 18 hours. Arrays were washed and stained on Fluidics Station 450 using script FS450_0002","Standard Affymetrix scan protocol using GeneChip Scanner 3000 7G","CD34C_1","Data were analyzed with Partek Genomics Suite(v.6.6) using the RMA normalization method. Four samples from GEO accession GSE55025 (GSM1328048, GSM1328049, GSM1328044, GSM1328045) were included along with twelve new samples for the normalization.","GPL16384","Noah,,Hornick","hornickn@ohsu.edu","503-494-0829","Peter Kurre","Pediatric Hematology Oncology","OHSU","3181 S.W. Sam Jackson Park Rd.","Portland","OR","97239-3098","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2283nnn/GSM2283819/suppl/GSM2283819_001_H1_CD34C_606PK_miRNA-3_0_.CEL.gz","25119",NA,"CD34+ human hematopoietic progenitor cells","cells"
"GSM2283820","CD34_exo-1","GSM2283820","Public on Aug 18 2016","Aug 17 2016","Aug 18 2016","RNA","1","CD34 extracellular vesicles","Homo sapiens","cell type: CD34+ human hematopoietic progenitor cells","sample type: extracellular vesicles","","Human CD34+ cord-blood progenitors (New York Blood Center) were enriched using MACS cell separation (Miltenyi Biotec) and cultured in serum-free media (Stem Cell Technologies) supplemented with 100U/ml penicillin/streptomycin, 40ng/ml FLT3L, 25ng/ml SCF, and 50ng/ml TPO (Miltenyi Biotec) at 1% oxygen and 5% carbon dioxide for 48h, after which exosomes were isolated by differential centrifugation. HL-60 and MOLM-14 cell lines were cultured at 1% oxygen and 5% carbon dioxide in RPMI + 10% FBS and 1X Pen-Strep for 48 hours, after which extracellular vesicles were isolated by differential centrifugation.","total RNA","Total RNA was extracted using the Qiagen miRNeasy kit according to the manufacturer's instructions.","biotin","Biotinylated RNA was prepared using Affymetrix HSR miRNA Flash Tag Biotin protocol with 130 ng total RNA input","9606","Hybridizations were performed as per Affymetrix FlashTag Biotin HSR RNA Labeling Kit User Guide with incubation at 48掳C/ 60 rpm for 18 hours. Arrays were washed and stained on Fluidics Station 450 using script FS450_0002","Standard Affymetrix scan protocol using GeneChip Scanner 3000 7G","CD34E_1","Data were analyzed with Partek Genomics Suite(v.6.6) using the RMA normalization method. Four samples from GEO accession GSE55025 (GSM1328048, GSM1328049, GSM1328044, GSM1328045) were included along with twelve new samples for the normalization.","GPL16384","Noah,,Hornick","hornickn@ohsu.edu","503-494-0829","Peter Kurre","Pediatric Hematology Oncology","OHSU","3181 S.W. Sam Jackson Park Rd.","Portland","OR","97239-3098","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2283nnn/GSM2283820/suppl/GSM2283820_002_H1_CD34E_606PK_miRNA-3_0_.CEL.gz","25119",NA,"CD34+ human hematopoietic progenitor cells","extracellular vesicles"
