"","title","geo_accession","status","submission_date","last_update_date","type","channel_count","source_name_ch1","organism_ch1","characteristics_ch1","characteristics_ch1.1","characteristics_ch1.2","treatment_protocol_ch1","growth_protocol_ch1","molecule_ch1","extract_protocol_ch1","extract_protocol_ch1.1","taxid_ch1","description","data_processing","data_processing.1","data_processing.2","data_processing.3","data_processing.4","platform_id","contact_name","contact_email","contact_institute","contact_address","contact_city","contact_state","contact_zip/postal_code","contact_country","data_row_count","instrument_model","library_selection","library_source","library_strategy","relation","relation.1","supplementary_file_1","cell line:ch1","kras status:ch1","miRNA source:ch1"
"GSM1635868","DKO1.cell.1","GSM1635868","Public on Aug 28 2015","Mar 17 2015","May 15 2019","SRA","1","CRC cell line","Homo sapiens","cell line: DKO-1","kras status: a mutant KRAS allele","miRNA source: cell","The medium was collected and replaced with ionomycin-containing media for 1 hr, after which ionomycin-containing media was collected and pooled with the previously collected serum-free medium","Cells cultured in DMEM containing 10% FBS until 80% confluency. Media replaced with serum-free DMEM and cultured for 24 hrs.","total RNA","Exosomes isolation: conditioned media centrifuged for 10 min at 300 X g, filtered through a 0.22um polyethersulfone filter, concentrated ~300-fold with a 100,000 MW cutoff centrifugal concentrator, high-speed centrifugation at 150,000 x g for 2 hours. RNA isolation:Cells grown serum-free for 24hrs (see growth protocol) or the isolated exosomes resuspended in PBS were subjected to RNA isolation through Trizol (Life Technologies)-chloroform extraction, followed by second RNA purification using RNA easy kit (Qiagen).","Library prep was done  using NEB small RNA low input protocol using 6 ul sample input. Each sample was individually barcoded with NEB index primers for illumina. PCR amplification was done for 15 cycles and size selection was done using Ampure XP beads protocol as per manufactures instruction. .  Accurate quantification for sequencing applications was done using the qPCR-based KAPA Biosystems Library Quantification kit. Each library were diluted to a final concentration of 12.5nM and pooled equimolar prior to clustering.  Cluster generation will be carried out on a cBot v1.4.36.0 using Illumina's Truseq Single Read (SR) Cluster Kit v3.0. Sequencing was performed to generate approximately 15 million single end (SE) reads per sample on an Illumina HiSeq2500. Image analysis and base calling was performed using the standard Illumina Pipeline consisting of Real time Analysis (RTA) version v1.13 and demultiplexed using bcl2fastq converter with default settings.","9606","miRNA","Illumina software used for basecalling.","reads were mapped and annotaed by ncpro-seq","DESeq was used to do the differential analysis","Genome_build: UCSC hg19","Supplementary_files_format_and_content: Tab-delimited plain text file linked to Series record: the first column is MicroRNA gene IDs and followings are reads counts","GPL11154","Yongchao,,Dou","douyongchao@gmail.com","vanderbilt medical center","2525 west end","Nashville","Tennessee","37203","USA","0","Illumina HiSeq 2000","size fractionation","transcriptomic","miRNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN03421338","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX957962","NONE","DKO-1","a mutant KRAS allele","cell"
"GSM1635869","DKO1.cell.2","GSM1635869","Public on Aug 28 2015","Mar 17 2015","May 15 2019","SRA","1","CRC cell line","Homo sapiens","cell line: DKO-1","kras status: a mutant KRAS allele","miRNA source: cell","The medium was collected and replaced with ionomycin-containing media for 1 hr, after which ionomycin-containing media was collected and pooled with the previously collected serum-free medium","Cells cultured in DMEM containing 10% FBS until 80% confluency. Media replaced with serum-free DMEM and cultured for 24 hrs.","total RNA","Exosomes isolation: conditioned media centrifuged for 10 min at 300 X g, filtered through a 0.22um polyethersulfone filter, concentrated ~300-fold with a 100,000 MW cutoff centrifugal concentrator, high-speed centrifugation at 150,000 x g for 2 hours. RNA isolation:Cells grown serum-free for 24hrs (see growth protocol) or the isolated exosomes resuspended in PBS were subjected to RNA isolation through Trizol (Life Technologies)-chloroform extraction, followed by second RNA purification using RNA easy kit (Qiagen).","Library prep was done  using NEB small RNA low input protocol using 6 ul sample input. Each sample was individually barcoded with NEB index primers for illumina. PCR amplification was done for 15 cycles and size selection was done using Ampure XP beads protocol as per manufactures instruction. .  Accurate quantification for sequencing applications was done using the qPCR-based KAPA Biosystems Library Quantification kit. Each library were diluted to a final concentration of 12.5nM and pooled equimolar prior to clustering.  Cluster generation will be carried out on a cBot v1.4.36.0 using Illumina's Truseq Single Read (SR) Cluster Kit v3.0. Sequencing was performed to generate approximately 15 million single end (SE) reads per sample on an Illumina HiSeq2500. Image analysis and base calling was performed using the standard Illumina Pipeline consisting of Real time Analysis (RTA) version v1.13 and demultiplexed using bcl2fastq converter with default settings.","9606","miRNA","Illumina software used for basecalling.","reads were mapped and annotaed by ncpro-seq","DESeq was used to do the differential analysis","Genome_build: UCSC hg19","Supplementary_files_format_and_content: Tab-delimited plain text file linked to Series record: the first column is MicroRNA gene IDs and followings are reads counts","GPL11154","Yongchao,,Dou","douyongchao@gmail.com","vanderbilt medical center","2525 west end","Nashville","Tennessee","37203","USA","0","Illumina HiSeq 2000","size fractionation","transcriptomic","miRNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN03421342","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX957963","NONE","DKO-1","a mutant KRAS allele","cell"
"GSM1635870","DKO1.cell.3","GSM1635870","Public on Aug 28 2015","Mar 17 2015","May 15 2019","SRA","1","CRC cell line","Homo sapiens","cell line: DKO-1","kras status: a mutant KRAS allele","miRNA source: cell","The medium was collected and replaced with ionomycin-containing media for 1 hr, after which ionomycin-containing media was collected and pooled with the previously collected serum-free medium","Cells cultured in DMEM containing 10% FBS until 80% confluency. Media replaced with serum-free DMEM and cultured for 24 hrs.","total RNA","Exosomes isolation: conditioned media centrifuged for 10 min at 300 X g, filtered through a 0.22um polyethersulfone filter, concentrated ~300-fold with a 100,000 MW cutoff centrifugal concentrator, high-speed centrifugation at 150,000 x g for 2 hours. RNA isolation:Cells grown serum-free for 24hrs (see growth protocol) or the isolated exosomes resuspended in PBS were subjected to RNA isolation through Trizol (Life Technologies)-chloroform extraction, followed by second RNA purification using RNA easy kit (Qiagen).","Library prep was done  using NEB small RNA low input protocol using 6 ul sample input. Each sample was individually barcoded with NEB index primers for illumina. PCR amplification was done for 15 cycles and size selection was done using Ampure XP beads protocol as per manufactures instruction. .  Accurate quantification for sequencing applications was done using the qPCR-based KAPA Biosystems Library Quantification kit. Each library were diluted to a final concentration of 12.5nM and pooled equimolar prior to clustering.  Cluster generation will be carried out on a cBot v1.4.36.0 using Illumina's Truseq Single Read (SR) Cluster Kit v3.0. Sequencing was performed to generate approximately 15 million single end (SE) reads per sample on an Illumina HiSeq2500. Image analysis and base calling was performed using the standard Illumina Pipeline consisting of Real time Analysis (RTA) version v1.13 and demultiplexed using bcl2fastq converter with default settings.","9606","miRNA","Illumina software used for basecalling.","reads were mapped and annotaed by ncpro-seq","DESeq was used to do the differential analysis","Genome_build: UCSC hg19","Supplementary_files_format_and_content: Tab-delimited plain text file linked to Series record: the first column is MicroRNA gene IDs and followings are reads counts","GPL11154","Yongchao,,Dou","douyongchao@gmail.com","vanderbilt medical center","2525 west end","Nashville","Tennessee","37203","USA","0","Illumina HiSeq 2000","size fractionation","transcriptomic","miRNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN03421343","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX957964","NONE","DKO-1","a mutant KRAS allele","cell"
"GSM1635871","DKO1.exo.1","GSM1635871","Public on Aug 28 2015","Mar 17 2015","May 15 2019","SRA","1","CRC cell line","Homo sapiens","cell line: DKO-1","kras status: a mutant KRAS allele","miRNA source: exosome","The medium was collected and replaced with ionomycin-containing media for 1 hr, after which ionomycin-containing media was collected and pooled with the previously collected serum-free medium","Cells cultured in DMEM containing 10% FBS until 80% confluency. Media replaced with serum-free DMEM and cultured for 24 hrs.","total RNA","Exosomes isolation: conditioned media centrifuged for 10 min at 300 X g, filtered through a 0.22um polyethersulfone filter, concentrated ~300-fold with a 100,000 MW cutoff centrifugal concentrator, high-speed centrifugation at 150,000 x g for 2 hours. RNA isolation:Cells grown serum-free for 24hrs (see growth protocol) or the isolated exosomes resuspended in PBS were subjected to RNA isolation through Trizol (Life Technologies)-chloroform extraction, followed by second RNA purification using RNA easy kit (Qiagen).","Library prep was done  using NEB small RNA low input protocol using 6 ul sample input. Each sample was individually barcoded with NEB index primers for illumina. PCR amplification was done for 15 cycles and size selection was done using Ampure XP beads protocol as per manufactures instruction. .  Accurate quantification for sequencing applications was done using the qPCR-based KAPA Biosystems Library Quantification kit. Each library were diluted to a final concentration of 12.5nM and pooled equimolar prior to clustering.  Cluster generation will be carried out on a cBot v1.4.36.0 using Illumina's Truseq Single Read (SR) Cluster Kit v3.0. Sequencing was performed to generate approximately 15 million single end (SE) reads per sample on an Illumina HiSeq2500. Image analysis and base calling was performed using the standard Illumina Pipeline consisting of Real time Analysis (RTA) version v1.13 and demultiplexed using bcl2fastq converter with default settings.","9606","miRNA","Illumina software used for basecalling.","reads were mapped and annotaed by ncpro-seq","DESeq was used to do the differential analysis","Genome_build: UCSC hg19","Supplementary_files_format_and_content: Tab-delimited plain text file linked to Series record: the first column is MicroRNA gene IDs and followings are reads counts","GPL11154","Yongchao,,Dou","douyongchao@gmail.com","vanderbilt medical center","2525 west end","Nashville","Tennessee","37203","USA","0","Illumina HiSeq 2000","size fractionation","transcriptomic","miRNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN03421340","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX957965","NONE","DKO-1","a mutant KRAS allele","exosome"
"GSM1635872","DKO1.exo.2","GSM1635872","Public on Aug 28 2015","Mar 17 2015","May 15 2019","SRA","1","CRC cell line","Homo sapiens","cell line: DKO-1","kras status: a mutant KRAS allele","miRNA source: exosome","The medium was collected and replaced with ionomycin-containing media for 1 hr, after which ionomycin-containing media was collected and pooled with the previously collected serum-free medium","Cells cultured in DMEM containing 10% FBS until 80% confluency. Media replaced with serum-free DMEM and cultured for 24 hrs.","total RNA","Exosomes isolation: conditioned media centrifuged for 10 min at 300 X g, filtered through a 0.22um polyethersulfone filter, concentrated ~300-fold with a 100,000 MW cutoff centrifugal concentrator, high-speed centrifugation at 150,000 x g for 2 hours. RNA isolation:Cells grown serum-free for 24hrs (see growth protocol) or the isolated exosomes resuspended in PBS were subjected to RNA isolation through Trizol (Life Technologies)-chloroform extraction, followed by second RNA purification using RNA easy kit (Qiagen).","Library prep was done  using NEB small RNA low input protocol using 6 ul sample input. Each sample was individually barcoded with NEB index primers for illumina. PCR amplification was done for 15 cycles and size selection was done using Ampure XP beads protocol as per manufactures instruction. .  Accurate quantification for sequencing applications was done using the qPCR-based KAPA Biosystems Library Quantification kit. Each library were diluted to a final concentration of 12.5nM and pooled equimolar prior to clustering.  Cluster generation will be carried out on a cBot v1.4.36.0 using Illumina's Truseq Single Read (SR) Cluster Kit v3.0. Sequencing was performed to generate approximately 15 million single end (SE) reads per sample on an Illumina HiSeq2500. Image analysis and base calling was performed using the standard Illumina Pipeline consisting of Real time Analysis (RTA) version v1.13 and demultiplexed using bcl2fastq converter with default settings.","9606","miRNA","Illumina software used for basecalling.","reads were mapped and annotaed by ncpro-seq","DESeq was used to do the differential analysis","Genome_build: UCSC hg19","Supplementary_files_format_and_content: Tab-delimited plain text file linked to Series record: the first column is MicroRNA gene IDs and followings are reads counts","GPL11154","Yongchao,,Dou","douyongchao@gmail.com","vanderbilt medical center","2525 west end","Nashville","Tennessee","37203","USA","0","Illumina HiSeq 2000","size fractionation","transcriptomic","miRNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN03421334","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX957966","NONE","DKO-1","a mutant KRAS allele","exosome"
"GSM1635873","DKO1.exo.3","GSM1635873","Public on Aug 28 2015","Mar 17 2015","May 15 2019","SRA","1","CRC cell line","Homo sapiens","cell line: DKO-1","kras status: a mutant KRAS allele","miRNA source: exosome","The medium was collected and replaced with ionomycin-containing media for 1 hr, after which ionomycin-containing media was collected and pooled with the previously collected serum-free medium","Cells cultured in DMEM containing 10% FBS until 80% confluency. Media replaced with serum-free DMEM and cultured for 24 hrs.","total RNA","Exosomes isolation: conditioned media centrifuged for 10 min at 300 X g, filtered through a 0.22um polyethersulfone filter, concentrated ~300-fold with a 100,000 MW cutoff centrifugal concentrator, high-speed centrifugation at 150,000 x g for 2 hours. RNA isolation:Cells grown serum-free for 24hrs (see growth protocol) or the isolated exosomes resuspended in PBS were subjected to RNA isolation through Trizol (Life Technologies)-chloroform extraction, followed by second RNA purification using RNA easy kit (Qiagen).","Library prep was done  using NEB small RNA low input protocol using 6 ul sample input. Each sample was individually barcoded with NEB index primers for illumina. PCR amplification was done for 15 cycles and size selection was done using Ampure XP beads protocol as per manufactures instruction. .  Accurate quantification for sequencing applications was done using the qPCR-based KAPA Biosystems Library Quantification kit. Each library were diluted to a final concentration of 12.5nM and pooled equimolar prior to clustering.  Cluster generation will be carried out on a cBot v1.4.36.0 using Illumina's Truseq Single Read (SR) Cluster Kit v3.0. Sequencing was performed to generate approximately 15 million single end (SE) reads per sample on an Illumina HiSeq2500. Image analysis and base calling was performed using the standard Illumina Pipeline consisting of Real time Analysis (RTA) version v1.13 and demultiplexed using bcl2fastq converter with default settings.","9606","miRNA","Illumina software used for basecalling.","reads were mapped and annotaed by ncpro-seq","DESeq was used to do the differential analysis","Genome_build: UCSC hg19","Supplementary_files_format_and_content: Tab-delimited plain text file linked to Series record: the first column is MicroRNA gene IDs and followings are reads counts","GPL11154","Yongchao,,Dou","douyongchao@gmail.com","vanderbilt medical center","2525 west end","Nashville","Tennessee","37203","USA","0","Illumina HiSeq 2000","size fractionation","transcriptomic","miRNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN03421332","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX957967","NONE","DKO-1","a mutant KRAS allele","exosome"
"GSM1635874","DKS8.cell.1","GSM1635874","Public on Aug 28 2015","Mar 17 2015","May 15 2019","SRA","1","CRC cell line","Homo sapiens","cell line: DKs-8","kras status: a wild type KRAS allele","miRNA source: cell","The medium was collected and replaced with ionomycin-containing media for 1 hr, after which ionomycin-containing media was collected and pooled with the previously collected serum-free medium","Cells cultured in DMEM containing 10% FBS until 80% confluency. Media replaced with serum-free DMEM and cultured for 24 hrs.","total RNA","Exosomes isolation: conditioned media centrifuged for 10 min at 300 X g, filtered through a 0.22um polyethersulfone filter, concentrated ~300-fold with a 100,000 MW cutoff centrifugal concentrator, high-speed centrifugation at 150,000 x g for 2 hours. RNA isolation:Cells grown serum-free for 24hrs (see growth protocol) or the isolated exosomes resuspended in PBS were subjected to RNA isolation through Trizol (Life Technologies)-chloroform extraction, followed by second RNA purification using RNA easy kit (Qiagen).","Library prep was done  using NEB small RNA low input protocol using 6 ul sample input. Each sample was individually barcoded with NEB index primers for illumina. PCR amplification was done for 15 cycles and size selection was done using Ampure XP beads protocol as per manufactures instruction. .  Accurate quantification for sequencing applications was done using the qPCR-based KAPA Biosystems Library Quantification kit. Each library were diluted to a final concentration of 12.5nM and pooled equimolar prior to clustering.  Cluster generation will be carried out on a cBot v1.4.36.0 using Illumina's Truseq Single Read (SR) Cluster Kit v3.0. Sequencing was performed to generate approximately 15 million single end (SE) reads per sample on an Illumina HiSeq2500. Image analysis and base calling was performed using the standard Illumina Pipeline consisting of Real time Analysis (RTA) version v1.13 and demultiplexed using bcl2fastq converter with default settings.","9606","miRNA","Illumina software used for basecalling.","reads were mapped and annotaed by ncpro-seq","DESeq was used to do the differential analysis","Genome_build: UCSC hg19","Supplementary_files_format_and_content: Tab-delimited plain text file linked to Series record: the first column is MicroRNA gene IDs and followings are reads counts","GPL11154","Yongchao,,Dou","douyongchao@gmail.com","vanderbilt medical center","2525 west end","Nashville","Tennessee","37203","USA","0","Illumina HiSeq 2000","size fractionation","transcriptomic","miRNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN03421344","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX957968","NONE","DKs-8","a wild type KRAS allele","cell"
"GSM1635875","DKS8.cell.2","GSM1635875","Public on Aug 28 2015","Mar 17 2015","May 15 2019","SRA","1","CRC cell line","Homo sapiens","cell line: DKs-8","kras status: a wild type KRAS allele","miRNA source: cell","The medium was collected and replaced with ionomycin-containing media for 1 hr, after which ionomycin-containing media was collected and pooled with the previously collected serum-free medium","Cells cultured in DMEM containing 10% FBS until 80% confluency. Media replaced with serum-free DMEM and cultured for 24 hrs.","total RNA","Exosomes isolation: conditioned media centrifuged for 10 min at 300 X g, filtered through a 0.22um polyethersulfone filter, concentrated ~300-fold with a 100,000 MW cutoff centrifugal concentrator, high-speed centrifugation at 150,000 x g for 2 hours. RNA isolation:Cells grown serum-free for 24hrs (see growth protocol) or the isolated exosomes resuspended in PBS were subjected to RNA isolation through Trizol (Life Technologies)-chloroform extraction, followed by second RNA purification using RNA easy kit (Qiagen).","Library prep was done  using NEB small RNA low input protocol using 6 ul sample input. Each sample was individually barcoded with NEB index primers for illumina. PCR amplification was done for 15 cycles and size selection was done using Ampure XP beads protocol as per manufactures instruction. .  Accurate quantification for sequencing applications was done using the qPCR-based KAPA Biosystems Library Quantification kit. Each library were diluted to a final concentration of 12.5nM and pooled equimolar prior to clustering.  Cluster generation will be carried out on a cBot v1.4.36.0 using Illumina's Truseq Single Read (SR) Cluster Kit v3.0. Sequencing was performed to generate approximately 15 million single end (SE) reads per sample on an Illumina HiSeq2500. Image analysis and base calling was performed using the standard Illumina Pipeline consisting of Real time Analysis (RTA) version v1.13 and demultiplexed using bcl2fastq converter with default settings.","9606","miRNA","Illumina software used for basecalling.","reads were mapped and annotaed by ncpro-seq","DESeq was used to do the differential analysis","Genome_build: UCSC hg19","Supplementary_files_format_and_content: Tab-delimited plain text file linked to Series record: the first column is MicroRNA gene IDs and followings are reads counts","GPL11154","Yongchao,,Dou","douyongchao@gmail.com","vanderbilt medical center","2525 west end","Nashville","Tennessee","37203","USA","0","Illumina HiSeq 2000","size fractionation","transcriptomic","miRNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN03421333","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX957969","NONE","DKs-8","a wild type KRAS allele","cell"
"GSM1635876","DKS8.cell.3","GSM1635876","Public on Aug 28 2015","Mar 17 2015","May 15 2019","SRA","1","CRC cell line","Homo sapiens","cell line: DKs-8","kras status: a wild type KRAS allele","miRNA source: cell","The medium was collected and replaced with ionomycin-containing media for 1 hr, after which ionomycin-containing media was collected and pooled with the previously collected serum-free medium","Cells cultured in DMEM containing 10% FBS until 80% confluency. Media replaced with serum-free DMEM and cultured for 24 hrs.","total RNA","Exosomes isolation: conditioned media centrifuged for 10 min at 300 X g, filtered through a 0.22um polyethersulfone filter, concentrated ~300-fold with a 100,000 MW cutoff centrifugal concentrator, high-speed centrifugation at 150,000 x g for 2 hours. RNA isolation:Cells grown serum-free for 24hrs (see growth protocol) or the isolated exosomes resuspended in PBS were subjected to RNA isolation through Trizol (Life Technologies)-chloroform extraction, followed by second RNA purification using RNA easy kit (Qiagen).","Library prep was done  using NEB small RNA low input protocol using 6 ul sample input. Each sample was individually barcoded with NEB index primers for illumina. PCR amplification was done for 15 cycles and size selection was done using Ampure XP beads protocol as per manufactures instruction. .  Accurate quantification for sequencing applications was done using the qPCR-based KAPA Biosystems Library Quantification kit. Each library were diluted to a final concentration of 12.5nM and pooled equimolar prior to clustering.  Cluster generation will be carried out on a cBot v1.4.36.0 using Illumina's Truseq Single Read (SR) Cluster Kit v3.0. Sequencing was performed to generate approximately 15 million single end (SE) reads per sample on an Illumina HiSeq2500. Image analysis and base calling was performed using the standard Illumina Pipeline consisting of Real time Analysis (RTA) version v1.13 and demultiplexed using bcl2fastq converter with default settings.","9606","miRNA","Illumina software used for basecalling.","reads were mapped and annotaed by ncpro-seq","DESeq was used to do the differential analysis","Genome_build: UCSC hg19","Supplementary_files_format_and_content: Tab-delimited plain text file linked to Series record: the first column is MicroRNA gene IDs and followings are reads counts","GPL11154","Yongchao,,Dou","douyongchao@gmail.com","vanderbilt medical center","2525 west end","Nashville","Tennessee","37203","USA","0","Illumina HiSeq 2000","size fractionation","transcriptomic","miRNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN03421336","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX957970","NONE","DKs-8","a wild type KRAS allele","cell"
"GSM1635877","DKS8.exo.1","GSM1635877","Public on Aug 28 2015","Mar 17 2015","May 15 2019","SRA","1","CRC cell line","Homo sapiens","cell line: DKs-8","kras status: a wild type KRAS allele","miRNA source: exosome","The medium was collected and replaced with ionomycin-containing media for 1 hr, after which ionomycin-containing media was collected and pooled with the previously collected serum-free medium","Cells cultured in DMEM containing 10% FBS until 80% confluency. Media replaced with serum-free DMEM and cultured for 24 hrs.","total RNA","Exosomes isolation: conditioned media centrifuged for 10 min at 300 X g, filtered through a 0.22um polyethersulfone filter, concentrated ~300-fold with a 100,000 MW cutoff centrifugal concentrator, high-speed centrifugation at 150,000 x g for 2 hours. RNA isolation:Cells grown serum-free for 24hrs (see growth protocol) or the isolated exosomes resuspended in PBS were subjected to RNA isolation through Trizol (Life Technologies)-chloroform extraction, followed by second RNA purification using RNA easy kit (Qiagen).","Library prep was done  using NEB small RNA low input protocol using 6 ul sample input. Each sample was individually barcoded with NEB index primers for illumina. PCR amplification was done for 15 cycles and size selection was done using Ampure XP beads protocol as per manufactures instruction. .  Accurate quantification for sequencing applications was done using the qPCR-based KAPA Biosystems Library Quantification kit. Each library were diluted to a final concentration of 12.5nM and pooled equimolar prior to clustering.  Cluster generation will be carried out on a cBot v1.4.36.0 using Illumina's Truseq Single Read (SR) Cluster Kit v3.0. Sequencing was performed to generate approximately 15 million single end (SE) reads per sample on an Illumina HiSeq2500. Image analysis and base calling was performed using the standard Illumina Pipeline consisting of Real time Analysis (RTA) version v1.13 and demultiplexed using bcl2fastq converter with default settings.","9606","miRNA","Illumina software used for basecalling.","reads were mapped and annotaed by ncpro-seq","DESeq was used to do the differential analysis","Genome_build: UCSC hg19","Supplementary_files_format_and_content: Tab-delimited plain text file linked to Series record: the first column is MicroRNA gene IDs and followings are reads counts","GPL11154","Yongchao,,Dou","douyongchao@gmail.com","vanderbilt medical center","2525 west end","Nashville","Tennessee","37203","USA","0","Illumina HiSeq 2000","size fractionation","transcriptomic","miRNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN03421335","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX957971","NONE","DKs-8","a wild type KRAS allele","exosome"
