"","title","geo_accession","status","submission_date","last_update_date","type","channel_count","source_name_ch1","organism_ch1","characteristics_ch1","characteristics_ch1.1","characteristics_ch1.2","characteristics_ch1.3","characteristics_ch1.4","treatment_protocol_ch1","molecule_ch1","extract_protocol_ch1","label_ch1","label_protocol_ch1","taxid_ch1","hyb_protocol","scan_protocol","description","data_processing","platform_id","contact_name","contact_laboratory","contact_institute","contact_address","contact_city","contact_state","contact_zip/postal_code","contact_country","supplementary_file","data_row_count","biological source of exosomes or cells:ch1","cell line:ch1","cell type:ch1","disease state:ch1","microrna source:ch1"
"GSM979679","NC_FBS_exo_rep1","GSM979679","Public on Apr 01 2014","Aug 01 2012","Apr 01 2014","RNA","1","Fetal bovine serum, exosomal RNA, replicate-1","Bos taurus","microrna source: exosomes","biological source of exosomes or cells: serum","disease state: normal","","","Conditioned medium from cell-cultured 100 mm dish (1x10^7 cells) were collected.  Exosomes fraction  were prepared by step-wise centrifugation-ultracentrifugation method.","total RNA","Exosome fraction was mixed with Trizol-LS reagent (Invitrogen), and aqueous phase was collected by adding chloroform. After addition of ethanol to the aqueous phase, it was placed on to an RNeasy mini spin column (Qiagen) for the purification of total RNAs.","Cy3","Cyanine-3 (Cy3) labeled miRNA was prepared from total RNA using the miRNA Complete Labeling and Hyb Kit (Agilent) according to the manufacturer's instructions.","9913","Cy3-labelled miRNA was incubated at 100掳C for 5 minutes in a reaction volume of 45uL containing 2x Hi-RPM Hybridization Buffer and 10x Gene Expression blocking agent following the manufacturers instructions and cooled down in ice-cold water for 5 min. Reaction mixture hybridized to Agilent Human miRNA V3 Microarray (G4470C) for 20 hours at 55掳C in a rotating Agilent hybridization oven.  After hybridization, microarrays were washed 5 minute at room temperature with GE Wash Buffer 1 (Agilent) and 5 minute with 37掳C GE Wash buffer 2 (Agilent).","Slides were scanned immediately after washing on the Agilent DNA Microarray Scanner (G2505C) using one color scan setting for 8x15k array slides (Scan Area 61x21.6 mm, Scan resolution 5 um, Dye channel is set to Green ).","MicroRNA profile in FBS exosomes","The scanned images were analyzed with Feature Extraction Software 10.7.3.1 (Agilent) using default parameters (protocol miRNA_v1_95_May07 and Grid: 021827_D_F_20081129) to obtain background subtracted and spatially detrended Processed Signal intensities.","GPL14767","Naoto,,Tsuchiya","Genome Biology","National Cancer Center Reasearch Institute","Tsukiji 5-1-1","Chuo-ku","Tokyo","104-0045","Japan","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM979nnn/GSM979679/suppl/GSM979679_US85000263_252182710073_S01_miRNA-v1_95_May07_1_1.txt.gz","15739","serum",NA,NA,"normal","exosomes"
"GSM979680","NC_FBS_exo_rep2","GSM979680","Public on Apr 01 2014","Aug 01 2012","Apr 01 2014","RNA","1","Fetal bovine serum, exosomal RNA, replicate-2","Bos taurus","microrna source: exosomes","biological source of exosomes or cells: serum","disease state: normal","","","Conditioned medium from cell-cultured 100 mm dish (1x10^7 cells) were collected.  Exosomes fraction  were prepared by step-wise centrifugation-ultracentrifugation method.","total RNA","Exosome fraction was mixed with Trizol-LS reagent (Invitrogen), and aqueous phase was collected by adding chloroform. After addition of ethanol to the aqueous phase, it was placed on to an RNeasy mini spin column (Qiagen) for the purification of total RNAs.","Cy3","Cyanine-3 (Cy3) labeled miRNA was prepared from total RNA using the miRNA Complete Labeling and Hyb Kit (Agilent) according to the manufacturer's instructions.","9913","Cy3-labelled miRNA was incubated at 100掳C for 5 minutes in a reaction volume of 45uL containing 2x Hi-RPM Hybridization Buffer and 10x Gene Expression blocking agent following the manufacturers instructions and cooled down in ice-cold water for 5 min. Reaction mixture hybridized to Agilent Human miRNA V3 Microarray (G4470C) for 20 hours at 55掳C in a rotating Agilent hybridization oven.  After hybridization, microarrays were washed 5 minute at room temperature with GE Wash Buffer 1 (Agilent) and 5 minute with 37掳C GE Wash buffer 2 (Agilent).","Slides were scanned immediately after washing on the Agilent DNA Microarray Scanner (G2505C) using one color scan setting for 8x15k array slides (Scan Area 61x21.6 mm, Scan resolution 5 um, Dye channel is set to Green ).","MicroRNA profile in FBS exosomes","The scanned images were analyzed with Feature Extraction Software 10.7.3.1 (Agilent) using default parameters (protocol miRNA_v1_95_May07 and Grid: 021827_D_F_20081129) to obtain background subtracted and spatially detrended Processed Signal intensities.","GPL14767","Naoto,,Tsuchiya","Genome Biology","National Cancer Center Reasearch Institute","Tsukiji 5-1-1","Chuo-ku","Tokyo","104-0045","Japan","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM979nnn/GSM979680/suppl/GSM979680_US85000263_252182710073_S01_miRNA-v1_95_May07_1_2.txt.gz","15739","serum",NA,NA,"normal","exosomes"
"GSM979681","NC_FBS_exo_rep3","GSM979681","Public on Apr 01 2014","Aug 01 2012","Apr 01 2014","RNA","1","Fetal bovine serum, exosomal RNA, replicate-3","Bos taurus","microrna source: exosomes","biological source of exosomes or cells: serum","disease state: normal","","","Conditioned medium from cell-cultured 100 mm dish (1x10^7 cells) were collected.  Exosomes fraction  were prepared by step-wise centrifugation-ultracentrifugation method.","total RNA","Exosome fraction was mixed with Trizol-LS reagent (Invitrogen), and aqueous phase was collected by adding chloroform. After addition of ethanol to the aqueous phase, it was placed on to an RNeasy mini spin column (Qiagen) for the purification of total RNAs.","Cy3","Cyanine-3 (Cy3) labeled miRNA was prepared from total RNA using the miRNA Complete Labeling and Hyb Kit (Agilent) according to the manufacturer's instructions.","9913","Cy3-labelled miRNA was incubated at 100掳C for 5 minutes in a reaction volume of 45uL containing 2x Hi-RPM Hybridization Buffer and 10x Gene Expression blocking agent following the manufacturers instructions and cooled down in ice-cold water for 5 min. Reaction mixture hybridized to Agilent Human miRNA V3 Microarray (G4470C) for 20 hours at 55掳C in a rotating Agilent hybridization oven.  After hybridization, microarrays were washed 5 minute at room temperature with GE Wash Buffer 1 (Agilent) and 5 minute with 37掳C GE Wash buffer 2 (Agilent).","Slides were scanned immediately after washing on the Agilent DNA Microarray Scanner (G2505C) using one color scan setting for 8x15k array slides (Scan Area 61x21.6 mm, Scan resolution 5 um, Dye channel is set to Green ).","MicroRNA profile in FBS exosomes","The scanned images were analyzed with Feature Extraction Software 10.7.3.1 (Agilent) using default parameters (protocol miRNA_v1_95_May07 and Grid: 021827_D_F_20081129) to obtain background subtracted and spatially detrended Processed Signal intensities.","GPL14767","Naoto,,Tsuchiya","Genome Biology","National Cancer Center Reasearch Institute","Tsukiji 5-1-1","Chuo-ku","Tokyo","104-0045","Japan","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM979nnn/GSM979681/suppl/GSM979681_US85000263_252182710473_S01_miRNA-v1_95_May07_1_1.txt.gz","15739","serum",NA,NA,"normal","exosomes"
"GSM979682","NC_FBS_exo_rep4","GSM979682","Public on Apr 01 2014","Aug 01 2012","Apr 01 2014","RNA","1","Fetal bovine serum, exosomal RNA, replicate-4","Bos taurus","microrna source: exosomes","biological source of exosomes or cells: serum","disease state: normal","","","Conditioned medium from cell-cultured 100 mm dish (1x10^7 cells) were collected.  Exosomes fraction  were prepared by step-wise centrifugation-ultracentrifugation method.","total RNA","Exosome fraction was mixed with Trizol-LS reagent (Invitrogen), and aqueous phase was collected by adding chloroform. After addition of ethanol to the aqueous phase, it was placed on to an RNeasy mini spin column (Qiagen) for the purification of total RNAs.","Cy3","Cyanine-3 (Cy3) labeled miRNA was prepared from total RNA using the miRNA Complete Labeling and Hyb Kit (Agilent) according to the manufacturer's instructions.","9913","Cy3-labelled miRNA was incubated at 100掳C for 5 minutes in a reaction volume of 45uL containing 2x Hi-RPM Hybridization Buffer and 10x Gene Expression blocking agent following the manufacturers instructions and cooled down in ice-cold water for 5 min. Reaction mixture hybridized to Agilent Human miRNA V3 Microarray (G4470C) for 20 hours at 55掳C in a rotating Agilent hybridization oven.  After hybridization, microarrays were washed 5 minute at room temperature with GE Wash Buffer 1 (Agilent) and 5 minute with 37掳C GE Wash buffer 2 (Agilent).","Slides were scanned immediately after washing on the Agilent DNA Microarray Scanner (G2505C) using one color scan setting for 8x15k array slides (Scan Area 61x21.6 mm, Scan resolution 5 um, Dye channel is set to Green ).","MicroRNA profile in FBS exosomes","The scanned images were analyzed with Feature Extraction Software 10.7.3.1 (Agilent) using default parameters (protocol miRNA_v1_95_May07 and Grid: 021827_D_F_20081129) to obtain background subtracted and spatially detrended Processed Signal intensities.","GPL14767","Naoto,,Tsuchiya","Genome Biology","National Cancer Center Reasearch Institute","Tsukiji 5-1-1","Chuo-ku","Tokyo","104-0045","Japan","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM979nnn/GSM979682/suppl/GSM979682_US85000263_252182710473_S01_miRNA-v1_95_May07_1_2.txt.gz","15739","serum",NA,NA,"normal","exosomes"
"GSM979683","FHC_endo_rep1","GSM979683","Public on Apr 01 2014","Aug 01 2012","Apr 01 2014","RNA","1","FHC cells, endogenous RNA, replicate-1","Homo sapiens","microrna source: cells","biological source of exosomes or cells: fetal colon-derived cells","cell type: epithelial","cell line: FHC","disease state: normal","Conditioned medium from cell-cultured 100 mm dish (1x10^7 cells) were collected.  Exosomes fraction  were prepared by step-wise centrifugation-ultracentrifugation method.","total RNA","Exosome fraction was mixed with Trizol-LS reagent (Invitrogen), and aqueous phase was collected by adding chloroform. After addition of ethanol to the aqueous phase, it was placed on to an RNeasy mini spin column (Qiagen) for the purification of total RNAs.","Cy3","Cyanine-3 (Cy3) labeled miRNA was prepared from total RNA using the miRNA Complete Labeling and Hyb Kit (Agilent) according to the manufacturer's instructions.","9606","Cy3-labelled miRNA was incubated at 100掳C for 5 minutes in a reaction volume of 45uL containing 2x Hi-RPM Hybridization Buffer and 10x Gene Expression blocking agent following the manufacturers instructions and cooled down in ice-cold water for 5 min. Reaction mixture hybridized to Agilent Human miRNA V3 Microarray (G4470C) for 20 hours at 55掳C in a rotating Agilent hybridization oven.  After hybridization, microarrays were washed 5 minute at room temperature with GE Wash Buffer 1 (Agilent) and 5 minute with 37掳C GE Wash buffer 2 (Agilent).","Slides were scanned immediately after washing on the Agilent DNA Microarray Scanner (G2505C) using one color scan setting for 8x15k array slides (Scan Area 61x21.6 mm, Scan resolution 5 um, Dye channel is set to Green ).","MicroRNA expression profile in endogenous RNA of cells","The scanned images were analyzed with Feature Extraction Software 10.7.3.1 (Agilent) using default parameters (protocol miRNA_v1_95_May07 and Grid: 021827_D_F_20081129) to obtain background subtracted and spatially detrended Processed Signal intensities.","GPL14767","Naoto,,Tsuchiya","Genome Biology","National Cancer Center Reasearch Institute","Tsukiji 5-1-1","Chuo-ku","Tokyo","104-0045","Japan","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM979nnn/GSM979683/suppl/GSM979683_US85000263_252182710072_S01_miRNA-v1_95_May07_1_1.txt.gz","15739","fetal colon-derived cells","FHC","epithelial","normal","cells"
"GSM979684","FHC_endo_rep2","GSM979684","Public on Apr 01 2014","Aug 01 2012","Apr 01 2014","RNA","1","FHC cells, endogenous RNA, replicate-2","Homo sapiens","microrna source: cells","biological source of exosomes or cells: fetal colon-derived cells","cell type: epithelial","cell line: FHC","disease state: normal","Conditioned medium from cell-cultured 100 mm dish (1x10^7 cells) were collected.  Exosomes fraction  were prepared by step-wise centrifugation-ultracentrifugation method.","total RNA","Exosome fraction was mixed with Trizol-LS reagent (Invitrogen), and aqueous phase was collected by adding chloroform. After addition of ethanol to the aqueous phase, it was placed on to an RNeasy mini spin column (Qiagen) for the purification of total RNAs.","Cy3","Cyanine-3 (Cy3) labeled miRNA was prepared from total RNA using the miRNA Complete Labeling and Hyb Kit (Agilent) according to the manufacturer's instructions.","9606","Cy3-labelled miRNA was incubated at 100掳C for 5 minutes in a reaction volume of 45uL containing 2x Hi-RPM Hybridization Buffer and 10x Gene Expression blocking agent following the manufacturers instructions and cooled down in ice-cold water for 5 min. Reaction mixture hybridized to Agilent Human miRNA V3 Microarray (G4470C) for 20 hours at 55掳C in a rotating Agilent hybridization oven.  After hybridization, microarrays were washed 5 minute at room temperature with GE Wash Buffer 1 (Agilent) and 5 minute with 37掳C GE Wash buffer 2 (Agilent).","Slides were scanned immediately after washing on the Agilent DNA Microarray Scanner (G2505C) using one color scan setting for 8x15k array slides (Scan Area 61x21.6 mm, Scan resolution 5 um, Dye channel is set to Green ).","MicroRNA expression profile in endogenous RNA of cells","The scanned images were analyzed with Feature Extraction Software 10.7.3.1 (Agilent) using default parameters (protocol miRNA_v1_95_May07 and Grid: 021827_D_F_20081129) to obtain background subtracted and spatially detrended Processed Signal intensities.","GPL14767","Naoto,,Tsuchiya","Genome Biology","National Cancer Center Reasearch Institute","Tsukiji 5-1-1","Chuo-ku","Tokyo","104-0045","Japan","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM979nnn/GSM979684/suppl/GSM979684_US85000263_252182710072_S01_miRNA-v1_95_May07_1_2.txt.gz","15739","fetal colon-derived cells","FHC","epithelial","normal","cells"
"GSM979685","FHC_exo_rep1","GSM979685","Public on Apr 01 2014","Aug 01 2012","Apr 01 2014","RNA","1","FHC cells, exosomal RNA, replicate-3","Homo sapiens","microrna source: exosomes","biological source of exosomes or cells: conditioned medium from fetal colon-derived cells","cell type: epithelial","cell line: FHC","disease state: normal","Conditioned medium from cell-cultured 100 mm dish (1x10^7 cells) were collected.  Exosomes fraction  were prepared by step-wise centrifugation-ultracentrifugation method.","total RNA","Exosome fraction was mixed with Trizol-LS reagent (Invitrogen), and aqueous phase was collected by adding chloroform. After addition of ethanol to the aqueous phase, it was placed on to an RNeasy mini spin column (Qiagen) for the purification of total RNAs.","Cy3","Cyanine-3 (Cy3) labeled miRNA was prepared from total RNA using the miRNA Complete Labeling and Hyb Kit (Agilent) according to the manufacturer's instructions.","9606","Cy3-labelled miRNA was incubated at 100掳C for 5 minutes in a reaction volume of 45uL containing 2x Hi-RPM Hybridization Buffer and 10x Gene Expression blocking agent following the manufacturers instructions and cooled down in ice-cold water for 5 min. Reaction mixture hybridized to Agilent Human miRNA V3 Microarray (G4470C) for 20 hours at 55掳C in a rotating Agilent hybridization oven.  After hybridization, microarrays were washed 5 minute at room temperature with GE Wash Buffer 1 (Agilent) and 5 minute with 37掳C GE Wash buffer 2 (Agilent).","Slides were scanned immediately after washing on the Agilent DNA Microarray Scanner (G2505C) using one color scan setting for 8x15k array slides (Scan Area 61x21.6 mm, Scan resolution 5 um, Dye channel is set to Green ).","MicroRNA profile in exosomes of conditioned medium","The scanned images were analyzed with Feature Extraction Software 10.7.3.1 (Agilent) using default parameters (protocol miRNA_v1_95_May07 and Grid: 021827_D_F_20081129) to obtain background subtracted and spatially detrended Processed Signal intensities.","GPL14767","Naoto,,Tsuchiya","Genome Biology","National Cancer Center Reasearch Institute","Tsukiji 5-1-1","Chuo-ku","Tokyo","104-0045","Japan","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM979nnn/GSM979685/suppl/GSM979685_US85000263_252182710072_S01_miRNA-v1_95_May07_1_3.txt.gz","15739","conditioned medium from fetal colon-derived cells","FHC","epithelial","normal","exosomes"
"GSM979686","FHC_exo_rep2","GSM979686","Public on Apr 01 2014","Aug 01 2012","Apr 01 2014","RNA","1","FHC cells, exosomal RNA, replicate-4","Homo sapiens","microrna source: exosomes","biological source of exosomes or cells: conditioned medium from fetal colon-derived cells","cell type: epithelial","cell line: FHC","disease state: normal","Conditioned medium from cell-cultured 100 mm dish (1x10^7 cells) were collected.  Exosomes fraction  were prepared by step-wise centrifugation-ultracentrifugation method.","total RNA","Exosome fraction was mixed with Trizol-LS reagent (Invitrogen), and aqueous phase was collected by adding chloroform. After addition of ethanol to the aqueous phase, it was placed on to an RNeasy mini spin column (Qiagen) for the purification of total RNAs.","Cy3","Cyanine-3 (Cy3) labeled miRNA was prepared from total RNA using the miRNA Complete Labeling and Hyb Kit (Agilent) according to the manufacturer's instructions.","9606","Cy3-labelled miRNA was incubated at 100掳C for 5 minutes in a reaction volume of 45uL containing 2x Hi-RPM Hybridization Buffer and 10x Gene Expression blocking agent following the manufacturers instructions and cooled down in ice-cold water for 5 min. Reaction mixture hybridized to Agilent Human miRNA V3 Microarray (G4470C) for 20 hours at 55掳C in a rotating Agilent hybridization oven.  After hybridization, microarrays were washed 5 minute at room temperature with GE Wash Buffer 1 (Agilent) and 5 minute with 37掳C GE Wash buffer 2 (Agilent).","Slides were scanned immediately after washing on the Agilent DNA Microarray Scanner (G2505C) using one color scan setting for 8x15k array slides (Scan Area 61x21.6 mm, Scan resolution 5 um, Dye channel is set to Green ).","MicroRNA profile in exosomes of conditioned medium","The scanned images were analyzed with Feature Extraction Software 10.7.3.1 (Agilent) using default parameters (protocol miRNA_v1_95_May07 and Grid: 021827_D_F_20081129) to obtain background subtracted and spatially detrended Processed Signal intensities.","GPL14767","Naoto,,Tsuchiya","Genome Biology","National Cancer Center Reasearch Institute","Tsukiji 5-1-1","Chuo-ku","Tokyo","104-0045","Japan","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM979nnn/GSM979686/suppl/GSM979686_US85000263_252182710072_S01_miRNA-v1_95_May07_1_4.txt.gz","15739","conditioned medium from fetal colon-derived cells","FHC","epithelial","normal","exosomes"
"GSM979687","FHC_exo_rep3","GSM979687","Public on Apr 01 2014","Aug 01 2012","Apr 01 2014","RNA","1","FHC cells, exosomal RNA, replicate-5","Homo sapiens","microrna source: exosomes","biological source of exosomes or cells: conditioned medium from fetal colon-derived cells","cell type: epithelial","cell line: FHC","disease state: normal","Conditioned medium from cell-cultured 100 mm dish (1x10^7 cells) were collected.  Exosomes fraction  were prepared by step-wise centrifugation-ultracentrifugation method.","total RNA","Exosome fraction was mixed with Trizol-LS reagent (Invitrogen), and aqueous phase was collected by adding chloroform. After addition of ethanol to the aqueous phase, it was placed on to an RNeasy mini spin column (Qiagen) for the purification of total RNAs.","Cy3","Cyanine-3 (Cy3) labeled miRNA was prepared from total RNA using the miRNA Complete Labeling and Hyb Kit (Agilent) according to the manufacturer's instructions.","9606","Cy3-labelled miRNA was incubated at 100掳C for 5 minutes in a reaction volume of 45uL containing 2x Hi-RPM Hybridization Buffer and 10x Gene Expression blocking agent following the manufacturers instructions and cooled down in ice-cold water for 5 min. Reaction mixture hybridized to Agilent Human miRNA V3 Microarray (G4470C) for 20 hours at 55掳C in a rotating Agilent hybridization oven.  After hybridization, microarrays were washed 5 minute at room temperature with GE Wash Buffer 1 (Agilent) and 5 minute with 37掳C GE Wash buffer 2 (Agilent).","Slides were scanned immediately after washing on the Agilent DNA Microarray Scanner (G2505C) using one color scan setting for 8x15k array slides (Scan Area 61x21.6 mm, Scan resolution 5 um, Dye channel is set to Green ).","MicroRNA profile in exosomes of conditioned medium","The scanned images were analyzed with Feature Extraction Software 10.7.3.1 (Agilent) using default parameters (protocol miRNA_v1_95_May07 and Grid: 021827_D_F_20081129) to obtain background subtracted and spatially detrended Processed Signal intensities.","GPL14767","Naoto,,Tsuchiya","Genome Biology","National Cancer Center Reasearch Institute","Tsukiji 5-1-1","Chuo-ku","Tokyo","104-0045","Japan","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM979nnn/GSM979687/suppl/GSM979687_US85000263_252182710073_S01_miRNA-v1_95_May07_2_1.txt.gz","15739","conditioned medium from fetal colon-derived cells","FHC","epithelial","normal","exosomes"
"GSM979688","HCT 116_endo_rep1","GSM979688","Public on Apr 01 2014","Aug 01 2012","Apr 01 2014","RNA","1","HCT116 cells, endogenous RNA, replicate-1","Homo sapiens","microrna source: cells","biological source of exosomes or cells: colon cancer cells","cell type: epithelial","cell line: HCT 116","disease state: colorectal carcinoma","Conditioned medium from cell-cultured 100 mm dish (1x10^7 cells) were collected.  Exosomes fraction  were prepared by step-wise centrifugation-ultracentrifugation method.","total RNA","Exosome fraction was mixed with Trizol-LS reagent (Invitrogen), and aqueous phase was collected by adding chloroform. After addition of ethanol to the aqueous phase, it was placed on to an RNeasy mini spin column (Qiagen) for the purification of total RNAs.","Cy3","Cyanine-3 (Cy3) labeled miRNA was prepared from total RNA using the miRNA Complete Labeling and Hyb Kit (Agilent) according to the manufacturer's instructions.","9606","Cy3-labelled miRNA was incubated at 100掳C for 5 minutes in a reaction volume of 45uL containing 2x Hi-RPM Hybridization Buffer and 10x Gene Expression blocking agent following the manufacturers instructions and cooled down in ice-cold water for 5 min. Reaction mixture hybridized to Agilent Human miRNA V3 Microarray (G4470C) for 20 hours at 55掳C in a rotating Agilent hybridization oven.  After hybridization, microarrays were washed 5 minute at room temperature with GE Wash Buffer 1 (Agilent) and 5 minute with 37掳C GE Wash buffer 2 (Agilent).","Slides were scanned immediately after washing on the Agilent DNA Microarray Scanner (G2505C) using one color scan setting for 8x15k array slides (Scan Area 61x21.6 mm, Scan resolution 5 um, Dye channel is set to Green ).","MicroRNA expression profile in endogenous RNA of cells","The scanned images were analyzed with Feature Extraction Software 10.7.3.1 (Agilent) using default parameters (protocol miRNA_v1_95_May07 and Grid: 021827_D_F_20081129) to obtain background subtracted and spatially detrended Processed Signal intensities.","GPL14767","Naoto,,Tsuchiya","Genome Biology","National Cancer Center Reasearch Institute","Tsukiji 5-1-1","Chuo-ku","Tokyo","104-0045","Japan","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM979nnn/GSM979688/suppl/GSM979688_US85000263_252182710072_S01_miRNA-v1_95_May07_2_1.txt.gz","15739","colon cancer cells","HCT 116","epithelial","colorectal carcinoma","cells"
