"","title","geo_accession","status","submission_date","last_update_date","type","channel_count","source_name_ch1","organism_ch1","characteristics_ch1","characteristics_ch1.1","characteristics_ch1.2","molecule_ch1","extract_protocol_ch1","extract_protocol_ch1.1","taxid_ch1","description","description.1","data_processing","data_processing.1","data_processing.2","platform_id","contact_name","contact_institute","contact_address","contact_city","contact_state","contact_zip/postal_code","contact_country","data_row_count","instrument_model","library_selection","library_source","library_strategy","relation","relation.1","supplementary_file_1","patient diagnosis:ch1","tissue compartment:ch1","tissue:ch1"
"GSM3660254","Patients plasma exosomal miRNA [N1]","GSM3660254","Public on Mar 08 2019","Mar 07 2019","Mar 08 2019","SRA","1","Patients","Homo sapiens","patient diagnosis: NB","tissue: plasma","tissue compartment: exosome","total RNA","Total RNA of plasma exosomes was using Qiazol and RNeasy Minelute spin column following the manufacturer’s user guide.RNA concentration was determined using Nanodrop. The content and quality of exosomal RNAs were determined using the 2100 Bioanalyzer instrument.","RNA libraries were prepared for sequencing using standard Illumina protocols","9606","small RNA","N1","We use AASRA  to map clean reads to reference genome and other sRNA database, except Rfam which was performanced by using cmsearch","Genome_build: miRBase v20","Supplementary_files_format_and_content: RPKM-NB-exomalmiRNA.xls file includes RPKM values","GPL23227","Haoyan,,Chen","Renji Hospital","145 Shandong Road","Shanghai","Shanghai","200001","China","0","BGISEQ-500","size fractionation","transcriptomic","miRNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN11082838","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX5492836","NONE","NB","exosome","plasma"
"GSM3660255","Patients plasma exosomal miRNA [N2]","GSM3660255","Public on Mar 08 2019","Mar 07 2019","Mar 08 2019","SRA","1","Patients","Homo sapiens","patient diagnosis: NB","tissue: plasma","tissue compartment: exosome","total RNA","Total RNA of plasma exosomes was using Qiazol and RNeasy Minelute spin column following the manufacturer’s user guide.RNA concentration was determined using Nanodrop. The content and quality of exosomal RNAs were determined using the 2100 Bioanalyzer instrument.","RNA libraries were prepared for sequencing using standard Illumina protocols","9606","small RNA","N2","We use AASRA  to map clean reads to reference genome and other sRNA database, except Rfam which was performanced by using cmsearch","Genome_build: miRBase v20","Supplementary_files_format_and_content: RPKM-NB-exomalmiRNA.xls file includes RPKM values","GPL23227","Haoyan,,Chen","Renji Hospital","145 Shandong Road","Shanghai","Shanghai","200001","China","0","BGISEQ-500","size fractionation","transcriptomic","miRNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN11082837","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX5492837","NONE","NB","exosome","plasma"
"GSM3660256","Patients plasma exosomal miRNA [N3]","GSM3660256","Public on Mar 08 2019","Mar 07 2019","Mar 08 2019","SRA","1","Patients","Homo sapiens","patient diagnosis: NB","tissue: plasma","tissue compartment: exosome","total RNA","Total RNA of plasma exosomes was using Qiazol and RNeasy Minelute spin column following the manufacturer’s user guide.RNA concentration was determined using Nanodrop. The content and quality of exosomal RNAs were determined using the 2100 Bioanalyzer instrument.","RNA libraries were prepared for sequencing using standard Illumina protocols","9606","small RNA","N3","We use AASRA  to map clean reads to reference genome and other sRNA database, except Rfam which was performanced by using cmsearch","Genome_build: miRBase v20","Supplementary_files_format_and_content: RPKM-NB-exomalmiRNA.xls file includes RPKM values","GPL23227","Haoyan,,Chen","Renji Hospital","145 Shandong Road","Shanghai","Shanghai","200001","China","0","BGISEQ-500","size fractionation","transcriptomic","miRNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN11082836","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX5492838","NONE","NB","exosome","plasma"
"GSM3660257","Patients plasma exosomal miRNA [N4]","GSM3660257","Public on Mar 08 2019","Mar 07 2019","Mar 08 2019","SRA","1","Patients","Homo sapiens","patient diagnosis: NB","tissue: plasma","tissue compartment: exosome","total RNA","Total RNA of plasma exosomes was using Qiazol and RNeasy Minelute spin column following the manufacturer’s user guide.RNA concentration was determined using Nanodrop. The content and quality of exosomal RNAs were determined using the 2100 Bioanalyzer instrument.","RNA libraries were prepared for sequencing using standard Illumina protocols","9606","small RNA","N4","We use AASRA  to map clean reads to reference genome and other sRNA database, except Rfam which was performanced by using cmsearch","Genome_build: miRBase v20","Supplementary_files_format_and_content: RPKM-NB-exomalmiRNA.xls file includes RPKM values","GPL23227","Haoyan,,Chen","Renji Hospital","145 Shandong Road","Shanghai","Shanghai","200001","China","0","BGISEQ-500","size fractionation","transcriptomic","miRNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN11082835","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX5492839","NONE","NB","exosome","plasma"
"GSM3660258","Patients plasma exosomal miRNA [N5]","GSM3660258","Public on Mar 08 2019","Mar 07 2019","Mar 08 2019","SRA","1","Patients","Homo sapiens","patient diagnosis: GNBi","tissue: plasma","tissue compartment: exosome","total RNA","Total RNA of plasma exosomes was using Qiazol and RNeasy Minelute spin column following the manufacturer’s user guide.RNA concentration was determined using Nanodrop. The content and quality of exosomal RNAs were determined using the 2100 Bioanalyzer instrument.","RNA libraries were prepared for sequencing using standard Illumina protocols","9606","small RNA","N5","We use AASRA  to map clean reads to reference genome and other sRNA database, except Rfam which was performanced by using cmsearch","Genome_build: miRBase v20","Supplementary_files_format_and_content: RPKM-NB-exomalmiRNA.xls file includes RPKM values","GPL23227","Haoyan,,Chen","Renji Hospital","145 Shandong Road","Shanghai","Shanghai","200001","China","0","BGISEQ-500","size fractionation","transcriptomic","miRNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN11082834","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX5492840","NONE","GNBi","exosome","plasma"
"GSM3660259","Patients plasma exosomal miRNA [N6]","GSM3660259","Public on Mar 08 2019","Mar 07 2019","Mar 08 2019","SRA","1","Patients","Homo sapiens","patient diagnosis: NB","tissue: plasma","tissue compartment: exosome","total RNA","Total RNA of plasma exosomes was using Qiazol and RNeasy Minelute spin column following the manufacturer’s user guide.RNA concentration was determined using Nanodrop. The content and quality of exosomal RNAs were determined using the 2100 Bioanalyzer instrument.","RNA libraries were prepared for sequencing using standard Illumina protocols","9606","small RNA","N6","We use AASRA  to map clean reads to reference genome and other sRNA database, except Rfam which was performanced by using cmsearch","Genome_build: miRBase v20","Supplementary_files_format_and_content: RPKM-NB-exomalmiRNA.xls file includes RPKM values","GPL23227","Haoyan,,Chen","Renji Hospital","145 Shandong Road","Shanghai","Shanghai","200001","China","0","BGISEQ-500","size fractionation","transcriptomic","miRNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN11082833","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX5492841","NONE","NB","exosome","plasma"
"GSM3660260","Patients plasma exosomal miRNA [N7]","GSM3660260","Public on Mar 08 2019","Mar 07 2019","Mar 08 2019","SRA","1","Patients","Homo sapiens","patient diagnosis: NB","tissue: plasma","tissue compartment: exosome","total RNA","Total RNA of plasma exosomes was using Qiazol and RNeasy Minelute spin column following the manufacturer’s user guide.RNA concentration was determined using Nanodrop. The content and quality of exosomal RNAs were determined using the 2100 Bioanalyzer instrument.","RNA libraries were prepared for sequencing using standard Illumina protocols","9606","small RNA","N7","We use AASRA  to map clean reads to reference genome and other sRNA database, except Rfam which was performanced by using cmsearch","Genome_build: miRBase v20","Supplementary_files_format_and_content: RPKM-NB-exomalmiRNA.xls file includes RPKM values","GPL23227","Haoyan,,Chen","Renji Hospital","145 Shandong Road","Shanghai","Shanghai","200001","China","0","BGISEQ-500","size fractionation","transcriptomic","miRNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN11082832","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX5492842","NONE","NB","exosome","plasma"
"GSM3660261","Patients plasma exosomal miRNA [N8]","GSM3660261","Public on Mar 08 2019","Mar 07 2019","Mar 08 2019","SRA","1","Patients","Homo sapiens","patient diagnosis: NB","tissue: plasma","tissue compartment: exosome","total RNA","Total RNA of plasma exosomes was using Qiazol and RNeasy Minelute spin column following the manufacturer’s user guide.RNA concentration was determined using Nanodrop. The content and quality of exosomal RNAs were determined using the 2100 Bioanalyzer instrument.","RNA libraries were prepared for sequencing using standard Illumina protocols","9606","small RNA","N8","We use AASRA  to map clean reads to reference genome and other sRNA database, except Rfam which was performanced by using cmsearch","Genome_build: miRBase v20","Supplementary_files_format_and_content: RPKM-NB-exomalmiRNA.xls file includes RPKM values","GPL23227","Haoyan,,Chen","Renji Hospital","145 Shandong Road","Shanghai","Shanghai","200001","China","0","BGISEQ-500","size fractionation","transcriptomic","miRNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN11082831","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX5492843","NONE","NB","exosome","plasma"
"GSM3660262","Patients plasma exosomal miRNA [N9]","GSM3660262","Public on Mar 08 2019","Mar 07 2019","Mar 08 2019","SRA","1","Patients","Homo sapiens","patient diagnosis: NB","tissue: plasma","tissue compartment: exosome","total RNA","Total RNA of plasma exosomes was using Qiazol and RNeasy Minelute spin column following the manufacturer’s user guide.RNA concentration was determined using Nanodrop. The content and quality of exosomal RNAs were determined using the 2100 Bioanalyzer instrument.","RNA libraries were prepared for sequencing using standard Illumina protocols","9606","small RNA","N9","We use AASRA  to map clean reads to reference genome and other sRNA database, except Rfam which was performanced by using cmsearch","Genome_build: miRBase v20","Supplementary_files_format_and_content: RPKM-NB-exomalmiRNA.xls file includes RPKM values","GPL23227","Haoyan,,Chen","Renji Hospital","145 Shandong Road","Shanghai","Shanghai","200001","China","0","BGISEQ-500","size fractionation","transcriptomic","miRNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN11082830","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX5492844","NONE","NB","exosome","plasma"
"GSM3660263","Patients plasma exosomal miRNA [N10]","GSM3660263","Public on Mar 08 2019","Mar 07 2019","Mar 08 2019","SRA","1","Patients","Homo sapiens","patient diagnosis: GNBi","tissue: plasma","tissue compartment: exosome","total RNA","Total RNA of plasma exosomes was using Qiazol and RNeasy Minelute spin column following the manufacturer’s user guide.RNA concentration was determined using Nanodrop. The content and quality of exosomal RNAs were determined using the 2100 Bioanalyzer instrument.","RNA libraries were prepared for sequencing using standard Illumina protocols","9606","small RNA","N10","We use AASRA  to map clean reads to reference genome and other sRNA database, except Rfam which was performanced by using cmsearch","Genome_build: miRBase v20","Supplementary_files_format_and_content: RPKM-NB-exomalmiRNA.xls file includes RPKM values","GPL23227","Haoyan,,Chen","Renji Hospital","145 Shandong Road","Shanghai","Shanghai","200001","China","0","BGISEQ-500","size fractionation","transcriptomic","miRNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN11082829","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX5492845","NONE","GNBi","exosome","plasma"
