"","title","geo_accession","status","submission_date","last_update_date","type","channel_count","source_name_ch1","organism_ch1","characteristics_ch1","characteristics_ch1.1","molecule_ch1","extract_protocol_ch1","label_ch1","label_protocol_ch1","taxid_ch1","hyb_protocol","scan_protocol","data_processing","platform_id","contact_name","contact_email","contact_department","contact_institute","contact_address","contact_city","contact_state","contact_zip/postal_code","contact_country","supplementary_file","data_row_count","disease state:ch1","tissue:ch1"
"GSM3334304","microRNA profile of NPC1","GSM3334304","Public on Jun 16 2019","Aug 15 2018","Jun 16 2019","RNA","1","1","Homo sapiens","disease state: nasopharyngeal carcinoma","tissue: whole blood","total RNA","Total RNA was extracted using RNA Purification Kit (Norgen Biotek, Thorold, Ontario, Canada).","pCp-DY647","2.5 μg of total RNA of nasopharyngeal carcinoma, head-neck tumours and normal controls whole blood was employed with 100 nmol/L of pCp-DY647 (Dharmacon, Lafayette, CO, USA) and 15 Units of T4 RNA ligase (USB, Cleveland, Oh, USA) in a total reaction volume of 20 μL at 16°C overnight.","9606","The labeled RNAs were hybridized to the array with a 1× hybridization solution (5× Denhart’s solution, 0.5% SDS, 5× SSC) in a Hybridization Chamber (Corning Inc, Corning, NY, USA) at 46°C for 12 to 16 hours.","Scanned in a LuxScanTM -10K Scanner (capitalBio Inc., Beijing, China).","Quantile normalization across multiple arrays, log 2 transformation of expression levels, EXPression Analyzer and DisplayER (EXPANDER) version 4.1 was used.","GPL19888","Mei-Yin,,Zhang","zhangmy@sysucc.org.cn","State Key Laboratory of Oncology in South China","Sun Yat-sen University Cancer Center","651 Dongfeng East Road","Guangzhou","Guangdong","510060","China","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3334nnn/GSM3334304/suppl/GSM3334304_20160607-s2-up-high100_NPC1.gpr.gz","1856","nasopharyngeal carcinoma","whole blood"
"GSM3334305","microRNA profile of NPC2","GSM3334305","Public on Jun 16 2019","Aug 15 2018","Jun 16 2019","RNA","1","2","Homo sapiens","disease state: nasopharyngeal carcinoma","tissue: whole blood","total RNA","Total RNA was extracted using RNA Purification Kit (Norgen Biotek, Thorold, Ontario, Canada).","pCp-DY647","2.5 μg of total RNA of nasopharyngeal carcinoma, head-neck tumours and normal controls whole blood was employed with 100 nmol/L of pCp-DY647 (Dharmacon, Lafayette, CO, USA) and 15 Units of T4 RNA ligase (USB, Cleveland, Oh, USA) in a total reaction volume of 20 μL at 16°C overnight.","9606","The labeled RNAs were hybridized to the array with a 1× hybridization solution (5× Denhart’s solution, 0.5% SDS, 5× SSC) in a Hybridization Chamber (Corning Inc, Corning, NY, USA) at 46°C for 12 to 16 hours.","Scanned in a LuxScanTM -10K Scanner (capitalBio Inc., Beijing, China).","Quantile normalization across multiple arrays, log 2 transformation of expression levels, EXPression Analyzer and DisplayER (EXPANDER) version 4.1 was used.","GPL19888","Mei-Yin,,Zhang","zhangmy@sysucc.org.cn","State Key Laboratory of Oncology in South China","Sun Yat-sen University Cancer Center","651 Dongfeng East Road","Guangzhou","Guangdong","510060","China","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3334nnn/GSM3334305/suppl/GSM3334305_20160607-s2-down-high100_NPC2.gpr.gz","1856","nasopharyngeal carcinoma","whole blood"
"GSM3334306","microRNA profile of NPC3","GSM3334306","Public on Jun 16 2019","Aug 15 2018","Jun 16 2019","RNA","1","3","Homo sapiens","disease state: nasopharyngeal carcinoma","tissue: whole blood","total RNA","Total RNA was extracted using RNA Purification Kit (Norgen Biotek, Thorold, Ontario, Canada).","pCp-DY647","2.5 μg of total RNA of nasopharyngeal carcinoma, head-neck tumours and normal controls whole blood was employed with 100 nmol/L of pCp-DY647 (Dharmacon, Lafayette, CO, USA) and 15 Units of T4 RNA ligase (USB, Cleveland, Oh, USA) in a total reaction volume of 20 μL at 16°C overnight.","9606","The labeled RNAs were hybridized to the array with a 1× hybridization solution (5× Denhart’s solution, 0.5% SDS, 5× SSC) in a Hybridization Chamber (Corning Inc, Corning, NY, USA) at 46°C for 12 to 16 hours.","Scanned in a LuxScanTM -10K Scanner (capitalBio Inc., Beijing, China).","Quantile normalization across multiple arrays, log 2 transformation of expression levels, EXPression Analyzer and DisplayER (EXPANDER) version 4.1 was used.","GPL19888","Mei-Yin,,Zhang","zhangmy@sysucc.org.cn","State Key Laboratory of Oncology in South China","Sun Yat-sen University Cancer Center","651 Dongfeng East Road","Guangzhou","Guangdong","510060","China","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3334nnn/GSM3334306/suppl/GSM3334306_20160607-s3-up-high100_NPC3.gpr.gz","1856","nasopharyngeal carcinoma","whole blood"
"GSM3334307","microRNA profile of NPC4","GSM3334307","Public on Jun 16 2019","Aug 15 2018","Jun 16 2019","RNA","1","4","Homo sapiens","disease state: nasopharyngeal carcinoma","tissue: whole blood","total RNA","Total RNA was extracted using RNA Purification Kit (Norgen Biotek, Thorold, Ontario, Canada).","pCp-DY647","2.5 μg of total RNA of nasopharyngeal carcinoma, head-neck tumours and normal controls whole blood was employed with 100 nmol/L of pCp-DY647 (Dharmacon, Lafayette, CO, USA) and 15 Units of T4 RNA ligase (USB, Cleveland, Oh, USA) in a total reaction volume of 20 μL at 16°C overnight.","9606","The labeled RNAs were hybridized to the array with a 1× hybridization solution (5× Denhart’s solution, 0.5% SDS, 5× SSC) in a Hybridization Chamber (Corning Inc, Corning, NY, USA) at 46°C for 12 to 16 hours.","Scanned in a LuxScanTM -10K Scanner (capitalBio Inc., Beijing, China).","Quantile normalization across multiple arrays, log 2 transformation of expression levels, EXPression Analyzer and DisplayER (EXPANDER) version 4.1 was used.","GPL19888","Mei-Yin,,Zhang","zhangmy@sysucc.org.cn","State Key Laboratory of Oncology in South China","Sun Yat-sen University Cancer Center","651 Dongfeng East Road","Guangzhou","Guangdong","510060","China","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3334nnn/GSM3334307/suppl/GSM3334307_20160607-s3-down-high100_NPC4.gpr.gz","1856","nasopharyngeal carcinoma","whole blood"
"GSM3334308","microRNA profile of NPC5","GSM3334308","Public on Jun 16 2019","Aug 15 2018","Jun 16 2019","RNA","1","5","Homo sapiens","disease state: nasopharyngeal carcinoma","tissue: whole blood","total RNA","Total RNA was extracted using RNA Purification Kit (Norgen Biotek, Thorold, Ontario, Canada).","pCp-DY647","2.5 μg of total RNA of nasopharyngeal carcinoma, head-neck tumours and normal controls whole blood was employed with 100 nmol/L of pCp-DY647 (Dharmacon, Lafayette, CO, USA) and 15 Units of T4 RNA ligase (USB, Cleveland, Oh, USA) in a total reaction volume of 20 μL at 16°C overnight.","9606","The labeled RNAs were hybridized to the array with a 1× hybridization solution (5× Denhart’s solution, 0.5% SDS, 5× SSC) in a Hybridization Chamber (Corning Inc, Corning, NY, USA) at 46°C for 12 to 16 hours.","Scanned in a LuxScanTM -10K Scanner (capitalBio Inc., Beijing, China).","Quantile normalization across multiple arrays, log 2 transformation of expression levels, EXPression Analyzer and DisplayER (EXPANDER) version 4.1 was used.","GPL19888","Mei-Yin,,Zhang","zhangmy@sysucc.org.cn","State Key Laboratory of Oncology in South China","Sun Yat-sen University Cancer Center","651 Dongfeng East Road","Guangzhou","Guangdong","510060","China","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3334nnn/GSM3334308/suppl/GSM3334308_20160607-s7-up-high100_NPC5.gpr.gz","1856","nasopharyngeal carcinoma","whole blood"
"GSM3334309","microRNA profile of NPC6","GSM3334309","Public on Jun 16 2019","Aug 15 2018","Jun 16 2019","RNA","1","6","Homo sapiens","disease state: nasopharyngeal carcinoma","tissue: whole blood","total RNA","Total RNA was extracted using RNA Purification Kit (Norgen Biotek, Thorold, Ontario, Canada).","pCp-DY647","2.5 μg of total RNA of nasopharyngeal carcinoma, head-neck tumours and normal controls whole blood was employed with 100 nmol/L of pCp-DY647 (Dharmacon, Lafayette, CO, USA) and 15 Units of T4 RNA ligase (USB, Cleveland, Oh, USA) in a total reaction volume of 20 μL at 16°C overnight.","9606","The labeled RNAs were hybridized to the array with a 1× hybridization solution (5× Denhart’s solution, 0.5% SDS, 5× SSC) in a Hybridization Chamber (Corning Inc, Corning, NY, USA) at 46°C for 12 to 16 hours.","Scanned in a LuxScanTM -10K Scanner (capitalBio Inc., Beijing, China).","Quantile normalization across multiple arrays, log 2 transformation of expression levels, EXPression Analyzer and DisplayER (EXPANDER) version 4.1 was used.","GPL19888","Mei-Yin,,Zhang","zhangmy@sysucc.org.cn","State Key Laboratory of Oncology in South China","Sun Yat-sen University Cancer Center","651 Dongfeng East Road","Guangzhou","Guangdong","510060","China","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3334nnn/GSM3334309/suppl/GSM3334309_20160607-s7-down-high100_NPC6.gpr.gz","1856","nasopharyngeal carcinoma","whole blood"
"GSM3334310","microRNA profile of NPC7","GSM3334310","Public on Jun 16 2019","Aug 15 2018","Jun 16 2019","RNA","1","7","Homo sapiens","disease state: nasopharyngeal carcinoma","tissue: whole blood","total RNA","Total RNA was extracted using RNA Purification Kit (Norgen Biotek, Thorold, Ontario, Canada).","pCp-DY647","2.5 μg of total RNA of nasopharyngeal carcinoma, head-neck tumours and normal controls whole blood was employed with 100 nmol/L of pCp-DY647 (Dharmacon, Lafayette, CO, USA) and 15 Units of T4 RNA ligase (USB, Cleveland, Oh, USA) in a total reaction volume of 20 μL at 16°C overnight.","9606","The labeled RNAs were hybridized to the array with a 1× hybridization solution (5× Denhart’s solution, 0.5% SDS, 5× SSC) in a Hybridization Chamber (Corning Inc, Corning, NY, USA) at 46°C for 12 to 16 hours.","Scanned in a LuxScanTM -10K Scanner (capitalBio Inc., Beijing, China).","Quantile normalization across multiple arrays, log 2 transformation of expression levels, EXPression Analyzer and DisplayER (EXPANDER) version 4.1 was used.","GPL19888","Mei-Yin,,Zhang","zhangmy@sysucc.org.cn","State Key Laboratory of Oncology in South China","Sun Yat-sen University Cancer Center","651 Dongfeng East Road","Guangzhou","Guangdong","510060","China","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3334nnn/GSM3334310/suppl/GSM3334310_20160607-s10-up-high100_NPC7.gpr.gz","1856","nasopharyngeal carcinoma","whole blood"
"GSM3334311","microRNA profile of NPC8","GSM3334311","Public on Jun 16 2019","Aug 15 2018","Jun 16 2019","RNA","1","8","Homo sapiens","disease state: nasopharyngeal carcinoma","tissue: whole blood","total RNA","Total RNA was extracted using RNA Purification Kit (Norgen Biotek, Thorold, Ontario, Canada).","pCp-DY647","2.5 μg of total RNA of nasopharyngeal carcinoma, head-neck tumours and normal controls whole blood was employed with 100 nmol/L of pCp-DY647 (Dharmacon, Lafayette, CO, USA) and 15 Units of T4 RNA ligase (USB, Cleveland, Oh, USA) in a total reaction volume of 20 μL at 16°C overnight.","9606","The labeled RNAs were hybridized to the array with a 1× hybridization solution (5× Denhart’s solution, 0.5% SDS, 5× SSC) in a Hybridization Chamber (Corning Inc, Corning, NY, USA) at 46°C for 12 to 16 hours.","Scanned in a LuxScanTM -10K Scanner (capitalBio Inc., Beijing, China).","Quantile normalization across multiple arrays, log 2 transformation of expression levels, EXPression Analyzer and DisplayER (EXPANDER) version 4.1 was used.","GPL19888","Mei-Yin,,Zhang","zhangmy@sysucc.org.cn","State Key Laboratory of Oncology in South China","Sun Yat-sen University Cancer Center","651 Dongfeng East Road","Guangzhou","Guangdong","510060","China","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3334nnn/GSM3334311/suppl/GSM3334311_20160607-s21-up-high100_NPC8.gpr.gz","1856","nasopharyngeal carcinoma","whole blood"
"GSM3334312","microRNA profile of NPC9","GSM3334312","Public on Jun 16 2019","Aug 15 2018","Jun 16 2019","RNA","1","9","Homo sapiens","disease state: nasopharyngeal carcinoma","tissue: whole blood","total RNA","Total RNA was extracted using RNA Purification Kit (Norgen Biotek, Thorold, Ontario, Canada).","pCp-DY647","2.5 μg of total RNA of nasopharyngeal carcinoma, head-neck tumours and normal controls whole blood was employed with 100 nmol/L of pCp-DY647 (Dharmacon, Lafayette, CO, USA) and 15 Units of T4 RNA ligase (USB, Cleveland, Oh, USA) in a total reaction volume of 20 μL at 16°C overnight.","9606","The labeled RNAs were hybridized to the array with a 1× hybridization solution (5× Denhart’s solution, 0.5% SDS, 5× SSC) in a Hybridization Chamber (Corning Inc, Corning, NY, USA) at 46°C for 12 to 16 hours.","Scanned in a LuxScanTM -10K Scanner (capitalBio Inc., Beijing, China).","Quantile normalization across multiple arrays, log 2 transformation of expression levels, EXPression Analyzer and DisplayER (EXPANDER) version 4.1 was used.","GPL19888","Mei-Yin,,Zhang","zhangmy@sysucc.org.cn","State Key Laboratory of Oncology in South China","Sun Yat-sen University Cancer Center","651 Dongfeng East Road","Guangzhou","Guangdong","510060","China","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3334nnn/GSM3334312/suppl/GSM3334312_20160607-s21-down-high100_NPC9.gpr.gz","1856","nasopharyngeal carcinoma","whole blood"
"GSM3334313","microRNA profile of NPC10","GSM3334313","Public on Jun 16 2019","Aug 15 2018","Jun 16 2019","RNA","1","10","Homo sapiens","disease state: nasopharyngeal carcinoma","tissue: whole blood","total RNA","Total RNA was extracted using RNA Purification Kit (Norgen Biotek, Thorold, Ontario, Canada).","pCp-DY647","2.5 μg of total RNA of nasopharyngeal carcinoma, head-neck tumours and normal controls whole blood was employed with 100 nmol/L of pCp-DY647 (Dharmacon, Lafayette, CO, USA) and 15 Units of T4 RNA ligase (USB, Cleveland, Oh, USA) in a total reaction volume of 20 μL at 16°C overnight.","9606","The labeled RNAs were hybridized to the array with a 1× hybridization solution (5× Denhart’s solution, 0.5% SDS, 5× SSC) in a Hybridization Chamber (Corning Inc, Corning, NY, USA) at 46°C for 12 to 16 hours.","Scanned in a LuxScanTM -10K Scanner (capitalBio Inc., Beijing, China).","Quantile normalization across multiple arrays, log 2 transformation of expression levels, EXPression Analyzer and DisplayER (EXPANDER) version 4.1 was used.","GPL19888","Mei-Yin,,Zhang","zhangmy@sysucc.org.cn","State Key Laboratory of Oncology in South China","Sun Yat-sen University Cancer Center","651 Dongfeng East Road","Guangzhou","Guangdong","510060","China","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3334nnn/GSM3334313/suppl/GSM3334313_20160607-s24-up-high100_NPC10.gpr.gz","1856","nasopharyngeal carcinoma","whole blood"
