"","title","geo_accession","status","submission_date","last_update_date","type","channel_count","source_name_ch1","organism_ch1","characteristics_ch1","characteristics_ch1.1","characteristics_ch1.2","growth_protocol_ch1","molecule_ch1","extract_protocol_ch1","extract_protocol_ch1.1","taxid_ch1","description","data_processing","data_processing.1","data_processing.2","data_processing.3","data_processing.4","data_processing.5","platform_id","contact_name","contact_laboratory","contact_department","contact_institute","contact_address","contact_city","contact_state","contact_zip/postal_code","contact_country","data_row_count","instrument_model","library_selection","library_source","library_strategy","relation","relation.1","supplementary_file_1","cell line:ch1","cell type:ch1","ev population:ch1"
"GSM2837754","HACAT (Cells) passage 50","GSM2837754","Public on May 20 2019","Nov 02 2017","May 20 2019","SRA","1","Cells","Homo sapiens","cell line: HACAT","cell type: immortalized keratinocytes","ev population: Keratinocytes","Epidermal primary keratinocytes (PKCs) were freshly isolated from donor skin and propagated on i3T3 feeder cells using the method of Rheinwald and Green. HaCaT cells were purchased from CLS Cell Lines Service GmbH (Eppenheim, Germany). All keratinocyte cultures were maintained at 37 oC in a 5% CO2 / 95% air atmosphere, with media changes every 2 days, and subcultured when the cultures became 80% confluent.","total RNA","Total RNA was extracted using the Trizol™ method following the manufacturer’s protocol","Libraries were constructed using the TruSeq® SmallRNA Library Prep Kit, following the manufacturer’s instructions. A total of 1 µg RNA or 100 to 300 ng of exosomal RNA was used as input for library construction.","9606","Hp50_C","Remove index and adaptor sequences using TagCleaner (version 0.16)","Trim reads to 28 nucleotides using FASTX-Toolkit (version 0.0.13)","miRNAs were identified using the miRDeep2 program (version 2.0.0.7), using the default parameters with the exception of allowing for 1 mismatch and discarding read less than 16 nucleotides in length.","Raw miRNA counts were normalized and statistically analyzed using the DESeq2 package (version 1.10.1) in R (version 3.2.2)","Genome_build: hg19","Supplementary_files_format_and_content: Tab-delimited file containing raw miRNA counts","GPL18573","Dominic,,Guanzon","Exosome biology laboratory","UQCCR","University of Queensland","Building 71/918 RBWH Herston","Brisbane","Queensland","4029","Australia","0","Illumina NextSeq 500","size fractionation","transcriptomic","miRNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN07967402","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3353416","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2837nnn/GSM2837754/suppl/GSM2837754_Hp50_C.csv.gz","HACAT","immortalized keratinocytes","Keratinocytes"
"GSM2837755","HACAT (Apoptotic bodies) passage 50","GSM2837755","Public on May 20 2019","Nov 02 2017","May 20 2019","SRA","1","Conditioned media","Homo sapiens","cell line: HACAT","cell type: immortalized keratinocytes","ev population: Apoptotic bodies","Epidermal primary keratinocytes (PKCs) were freshly isolated from donor skin and propagated on i3T3 feeder cells using the method of Rheinwald and Green. HaCaT cells were purchased from CLS Cell Lines Service GmbH (Eppenheim, Germany). All keratinocyte cultures were maintained at 37 oC in a 5% CO2 / 95% air atmosphere, with media changes every 2 days, and subcultured when the cultures became 80% confluent.","total RNA","Total RNA was extracted using the Trizol™ method following the manufacturer’s protocol","Libraries were constructed using the TruSeq® SmallRNA Library Prep Kit, following the manufacturer’s instructions. A total of 1 µg RNA or 100 to 300 ng of exosomal RNA was used as input for library construction.","9606","Hp50_Ap","Remove index and adaptor sequences using TagCleaner (version 0.16)","Trim reads to 28 nucleotides using FASTX-Toolkit (version 0.0.13)","miRNAs were identified using the miRDeep2 program (version 2.0.0.7), using the default parameters with the exception of allowing for 1 mismatch and discarding read less than 16 nucleotides in length.","Raw miRNA counts were normalized and statistically analyzed using the DESeq2 package (version 1.10.1) in R (version 3.2.2)","Genome_build: hg19","Supplementary_files_format_and_content: Tab-delimited file containing raw miRNA counts","GPL18573","Dominic,,Guanzon","Exosome biology laboratory","UQCCR","University of Queensland","Building 71/918 RBWH Herston","Brisbane","Queensland","4029","Australia","0","Illumina NextSeq 500","size fractionation","transcriptomic","miRNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN07967401","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3353417","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2837nnn/GSM2837755/suppl/GSM2837755_Hp50_Ap.csv.gz","HACAT","immortalized keratinocytes","Apoptotic bodies"
"GSM2837756","HACAT (Microvesicles) passage 50","GSM2837756","Public on May 20 2019","Nov 02 2017","May 20 2019","SRA","1","Conditioned media","Homo sapiens","cell line: HACAT","cell type: immortalized keratinocytes","ev population: Microvesicles","Epidermal primary keratinocytes (PKCs) were freshly isolated from donor skin and propagated on i3T3 feeder cells using the method of Rheinwald and Green. HaCaT cells were purchased from CLS Cell Lines Service GmbH (Eppenheim, Germany). All keratinocyte cultures were maintained at 37 oC in a 5% CO2 / 95% air atmosphere, with media changes every 2 days, and subcultured when the cultures became 80% confluent.","total RNA","Total RNA was extracted using the Trizol™ method following the manufacturer’s protocol","Libraries were constructed using the TruSeq® SmallRNA Library Prep Kit, following the manufacturer’s instructions. A total of 1 µg RNA or 100 to 300 ng of exosomal RNA was used as input for library construction.","9606","Hp50_Mv","Remove index and adaptor sequences using TagCleaner (version 0.16)","Trim reads to 28 nucleotides using FASTX-Toolkit (version 0.0.13)","miRNAs were identified using the miRDeep2 program (version 2.0.0.7), using the default parameters with the exception of allowing for 1 mismatch and discarding read less than 16 nucleotides in length.","Raw miRNA counts were normalized and statistically analyzed using the DESeq2 package (version 1.10.1) in R (version 3.2.2)","Genome_build: hg19","Supplementary_files_format_and_content: Tab-delimited file containing raw miRNA counts","GPL18573","Dominic,,Guanzon","Exosome biology laboratory","UQCCR","University of Queensland","Building 71/918 RBWH Herston","Brisbane","Queensland","4029","Australia","0","Illumina NextSeq 500","size fractionation","transcriptomic","miRNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN07967400","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3353418","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2837nnn/GSM2837756/suppl/GSM2837756_Hp50_Mv.csv.gz","HACAT","immortalized keratinocytes","Microvesicles"
"GSM2837757","HACAT (Exosomes) passage 50","GSM2837757","Public on May 20 2019","Nov 02 2017","May 20 2019","SRA","1","Conditioned media","Homo sapiens","cell line: HACAT","cell type: immortalized keratinocytes","ev population: Exosomes","Epidermal primary keratinocytes (PKCs) were freshly isolated from donor skin and propagated on i3T3 feeder cells using the method of Rheinwald and Green. HaCaT cells were purchased from CLS Cell Lines Service GmbH (Eppenheim, Germany). All keratinocyte cultures were maintained at 37 oC in a 5% CO2 / 95% air atmosphere, with media changes every 2 days, and subcultured when the cultures became 80% confluent.","total RNA","Total RNA was extracted using the Trizol™ method following the manufacturer’s protocol","Libraries were constructed using the TruSeq® SmallRNA Library Prep Kit, following the manufacturer’s instructions. A total of 1 µg RNA or 100 to 300 ng of exosomal RNA was used as input for library construction.","9606","Hp50_Ex","Remove index and adaptor sequences using TagCleaner (version 0.16)","Trim reads to 28 nucleotides using FASTX-Toolkit (version 0.0.13)","miRNAs were identified using the miRDeep2 program (version 2.0.0.7), using the default parameters with the exception of allowing for 1 mismatch and discarding read less than 16 nucleotides in length.","Raw miRNA counts were normalized and statistically analyzed using the DESeq2 package (version 1.10.1) in R (version 3.2.2)","Genome_build: hg19","Supplementary_files_format_and_content: Tab-delimited file containing raw miRNA counts","GPL18573","Dominic,,Guanzon","Exosome biology laboratory","UQCCR","University of Queensland","Building 71/918 RBWH Herston","Brisbane","Queensland","4029","Australia","0","Illumina NextSeq 500","size fractionation","transcriptomic","miRNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN07967399","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3353419","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2837nnn/GSM2837757/suppl/GSM2837757_Hp50_Ex.csv.gz","HACAT","immortalized keratinocytes","Exosomes"
"GSM2837758","HACAT (Cells) passage 52","GSM2837758","Public on May 20 2019","Nov 02 2017","May 20 2019","SRA","1","Cells","Homo sapiens","cell line: HACAT","cell type: immortalized keratinocytes","ev population: Keratinocytes","Epidermal primary keratinocytes (PKCs) were freshly isolated from donor skin and propagated on i3T3 feeder cells using the method of Rheinwald and Green. HaCaT cells were purchased from CLS Cell Lines Service GmbH (Eppenheim, Germany). All keratinocyte cultures were maintained at 37 oC in a 5% CO2 / 95% air atmosphere, with media changes every 2 days, and subcultured when the cultures became 80% confluent.","total RNA","Total RNA was extracted using the Trizol™ method following the manufacturer’s protocol","Libraries were constructed using the TruSeq® SmallRNA Library Prep Kit, following the manufacturer’s instructions. A total of 1 µg RNA or 100 to 300 ng of exosomal RNA was used as input for library construction.","9606","Hp52_Cells","Remove index and adaptor sequences using TagCleaner (version 0.16)","Trim reads to 28 nucleotides using FASTX-Toolkit (version 0.0.13)","miRNAs were identified using the miRDeep2 program (version 2.0.0.7), using the default parameters with the exception of allowing for 1 mismatch and discarding read less than 16 nucleotides in length.","Raw miRNA counts were normalized and statistically analyzed using the DESeq2 package (version 1.10.1) in R (version 3.2.2)","Genome_build: hg19","Supplementary_files_format_and_content: Tab-delimited file containing raw miRNA counts","GPL18573","Dominic,,Guanzon","Exosome biology laboratory","UQCCR","University of Queensland","Building 71/918 RBWH Herston","Brisbane","Queensland","4029","Australia","0","Illumina NextSeq 500","size fractionation","transcriptomic","miRNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN07967398","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3353420","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2837nnn/GSM2837758/suppl/GSM2837758_Hp52_C.csv.gz","HACAT","immortalized keratinocytes","Keratinocytes"
"GSM2837759","HACAT (Apoptotic bodies) passage 52","GSM2837759","Public on May 20 2019","Nov 02 2017","May 20 2019","SRA","1","Conditioned media","Homo sapiens","cell line: HACAT","cell type: immortalized keratinocytes","ev population: Apoptotic bodies","Epidermal primary keratinocytes (PKCs) were freshly isolated from donor skin and propagated on i3T3 feeder cells using the method of Rheinwald and Green. HaCaT cells were purchased from CLS Cell Lines Service GmbH (Eppenheim, Germany). All keratinocyte cultures were maintained at 37 oC in a 5% CO2 / 95% air atmosphere, with media changes every 2 days, and subcultured when the cultures became 80% confluent.","total RNA","Total RNA was extracted using the Trizol™ method following the manufacturer’s protocol","Libraries were constructed using the TruSeq® SmallRNA Library Prep Kit, following the manufacturer’s instructions. A total of 1 µg RNA or 100 to 300 ng of exosomal RNA was used as input for library construction.","9606","Hp52_Ap","Remove index and adaptor sequences using TagCleaner (version 0.16)","Trim reads to 28 nucleotides using FASTX-Toolkit (version 0.0.13)","miRNAs were identified using the miRDeep2 program (version 2.0.0.7), using the default parameters with the exception of allowing for 1 mismatch and discarding read less than 16 nucleotides in length.","Raw miRNA counts were normalized and statistically analyzed using the DESeq2 package (version 1.10.1) in R (version 3.2.2)","Genome_build: hg19","Supplementary_files_format_and_content: Tab-delimited file containing raw miRNA counts","GPL18573","Dominic,,Guanzon","Exosome biology laboratory","UQCCR","University of Queensland","Building 71/918 RBWH Herston","Brisbane","Queensland","4029","Australia","0","Illumina NextSeq 500","size fractionation","transcriptomic","miRNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN07967397","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3353421","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2837nnn/GSM2837759/suppl/GSM2837759_Hp52_Ap.csv.gz","HACAT","immortalized keratinocytes","Apoptotic bodies"
"GSM2837760","HACAT (Microvesicles) passage 52","GSM2837760","Public on May 20 2019","Nov 02 2017","May 20 2019","SRA","1","Conditioned media","Homo sapiens","cell line: HACAT","cell type: immortalized keratinocytes","ev population: Microvesicles","Epidermal primary keratinocytes (PKCs) were freshly isolated from donor skin and propagated on i3T3 feeder cells using the method of Rheinwald and Green. HaCaT cells were purchased from CLS Cell Lines Service GmbH (Eppenheim, Germany). All keratinocyte cultures were maintained at 37 oC in a 5% CO2 / 95% air atmosphere, with media changes every 2 days, and subcultured when the cultures became 80% confluent.","total RNA","Total RNA was extracted using the Trizol™ method following the manufacturer’s protocol","Libraries were constructed using the TruSeq® SmallRNA Library Prep Kit, following the manufacturer’s instructions. A total of 1 µg RNA or 100 to 300 ng of exosomal RNA was used as input for library construction.","9606","Hp52_Mv","Remove index and adaptor sequences using TagCleaner (version 0.16)","Trim reads to 28 nucleotides using FASTX-Toolkit (version 0.0.13)","miRNAs were identified using the miRDeep2 program (version 2.0.0.7), using the default parameters with the exception of allowing for 1 mismatch and discarding read less than 16 nucleotides in length.","Raw miRNA counts were normalized and statistically analyzed using the DESeq2 package (version 1.10.1) in R (version 3.2.2)","Genome_build: hg19","Supplementary_files_format_and_content: Tab-delimited file containing raw miRNA counts","GPL18573","Dominic,,Guanzon","Exosome biology laboratory","UQCCR","University of Queensland","Building 71/918 RBWH Herston","Brisbane","Queensland","4029","Australia","0","Illumina NextSeq 500","size fractionation","transcriptomic","miRNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN07967396","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3353422","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2837nnn/GSM2837760/suppl/GSM2837760_Hp52_Mv.csv.gz","HACAT","immortalized keratinocytes","Microvesicles"
"GSM2837761","HACAT (Exosomes) passage 52","GSM2837761","Public on May 20 2019","Nov 02 2017","May 20 2019","SRA","1","Conditioned media","Homo sapiens","cell line: HACAT","cell type: immortalized keratinocytes","ev population: Exosomes","Epidermal primary keratinocytes (PKCs) were freshly isolated from donor skin and propagated on i3T3 feeder cells using the method of Rheinwald and Green. HaCaT cells were purchased from CLS Cell Lines Service GmbH (Eppenheim, Germany). All keratinocyte cultures were maintained at 37 oC in a 5% CO2 / 95% air atmosphere, with media changes every 2 days, and subcultured when the cultures became 80% confluent.","total RNA","Total RNA was extracted using the Trizol™ method following the manufacturer’s protocol","Libraries were constructed using the TruSeq® SmallRNA Library Prep Kit, following the manufacturer’s instructions. A total of 1 µg RNA or 100 to 300 ng of exosomal RNA was used as input for library construction.","9606","Hp52_Ex","Remove index and adaptor sequences using TagCleaner (version 0.16)","Trim reads to 28 nucleotides using FASTX-Toolkit (version 0.0.13)","miRNAs were identified using the miRDeep2 program (version 2.0.0.7), using the default parameters with the exception of allowing for 1 mismatch and discarding read less than 16 nucleotides in length.","Raw miRNA counts were normalized and statistically analyzed using the DESeq2 package (version 1.10.1) in R (version 3.2.2)","Genome_build: hg19","Supplementary_files_format_and_content: Tab-delimited file containing raw miRNA counts","GPL18573","Dominic,,Guanzon","Exosome biology laboratory","UQCCR","University of Queensland","Building 71/918 RBWH Herston","Brisbane","Queensland","4029","Australia","0","Illumina NextSeq 500","size fractionation","transcriptomic","miRNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN07967395","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3353423","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2837nnn/GSM2837761/suppl/GSM2837761_Hp52_Ex.csv.gz","HACAT","immortalized keratinocytes","Exosomes"
"GSM2837762","Primary keratinocytes (Cells) patient 363","GSM2837762","Public on May 20 2019","Nov 02 2017","May 20 2019","SRA","1","Cells","Homo sapiens","cell type: primary keratinocytes","ev population: Keratinocytes","","Epidermal primary keratinocytes (PKCs) were freshly isolated from donor skin and propagated on i3T3 feeder cells using the method of Rheinwald and Green. HaCaT cells were purchased from CLS Cell Lines Service GmbH (Eppenheim, Germany). All keratinocyte cultures were maintained at 37 oC in a 5% CO2 / 95% air atmosphere, with media changes every 2 days, and subcultured when the cultures became 80% confluent.","total RNA","Total RNA was extracted using the Trizol™ method following the manufacturer’s protocol","Libraries were constructed using the TruSeq® SmallRNA Library Prep Kit, following the manufacturer’s instructions. A total of 1 µg RNA or 100 to 300 ng of exosomal RNA was used as input for library construction.","9606","363_C","Remove index and adaptor sequences using TagCleaner (version 0.16)","Trim reads to 28 nucleotides using FASTX-Toolkit (version 0.0.13)","miRNAs were identified using the miRDeep2 program (version 2.0.0.7), using the default parameters with the exception of allowing for 1 mismatch and discarding read less than 16 nucleotides in length.","Raw miRNA counts were normalized and statistically analyzed using the DESeq2 package (version 1.10.1) in R (version 3.2.2)","Genome_build: hg19","Supplementary_files_format_and_content: Tab-delimited file containing raw miRNA counts","GPL18573","Dominic,,Guanzon","Exosome biology laboratory","UQCCR","University of Queensland","Building 71/918 RBWH Herston","Brisbane","Queensland","4029","Australia","0","Illumina NextSeq 500","size fractionation","transcriptomic","miRNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN07967381","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3353424","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2837nnn/GSM2837762/suppl/GSM2837762_363_C.csv.gz",NA,"primary keratinocytes","Keratinocytes"
"GSM2837763","Primary keratinocytes (Apoptotic bodies) patient 363","GSM2837763","Public on May 20 2019","Nov 02 2017","May 20 2019","SRA","1","Conditioned media","Homo sapiens","cell type: primary keratinocytes","ev population: Apoptotic bodies","","Epidermal primary keratinocytes (PKCs) were freshly isolated from donor skin and propagated on i3T3 feeder cells using the method of Rheinwald and Green. HaCaT cells were purchased from CLS Cell Lines Service GmbH (Eppenheim, Germany). All keratinocyte cultures were maintained at 37 oC in a 5% CO2 / 95% air atmosphere, with media changes every 2 days, and subcultured when the cultures became 80% confluent.","total RNA","Total RNA was extracted using the Trizol™ method following the manufacturer’s protocol","Libraries were constructed using the TruSeq® SmallRNA Library Prep Kit, following the manufacturer’s instructions. A total of 1 µg RNA or 100 to 300 ng of exosomal RNA was used as input for library construction.","9606","363_Ap","Remove index and adaptor sequences using TagCleaner (version 0.16)","Trim reads to 28 nucleotides using FASTX-Toolkit (version 0.0.13)","miRNAs were identified using the miRDeep2 program (version 2.0.0.7), using the default parameters with the exception of allowing for 1 mismatch and discarding read less than 16 nucleotides in length.","Raw miRNA counts were normalized and statistically analyzed using the DESeq2 package (version 1.10.1) in R (version 3.2.2)","Genome_build: hg19","Supplementary_files_format_and_content: Tab-delimited file containing raw miRNA counts","GPL18573","Dominic,,Guanzon","Exosome biology laboratory","UQCCR","University of Queensland","Building 71/918 RBWH Herston","Brisbane","Queensland","4029","Australia","0","Illumina NextSeq 500","size fractionation","transcriptomic","miRNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN07967382","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3353425","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2837nnn/GSM2837763/suppl/GSM2837763_363_Ap.csv.gz",NA,"primary keratinocytes","Apoptotic bodies"
