"","title","geo_accession","status","submission_date","last_update_date","type","channel_count","source_name_ch1","organism_ch1","characteristics_ch1","characteristics_ch1.1","characteristics_ch1.2","characteristics_ch1.3","characteristics_ch1.4","characteristics_ch1.5","molecule_ch1","extract_protocol_ch1","extract_protocol_ch1.1","taxid_ch1","data_processing","data_processing.1","data_processing.2","data_processing.3","data_processing.4","data_processing.5","data_processing.6","data_processing.7","platform_id","contact_name","contact_email","contact_phone","contact_department","contact_institute","contact_address","contact_city","contact_state","contact_zip/postal_code","contact_country","data_row_count","instrument_model","library_selection","library_source","library_strategy","relation","relation.1","supplementary_file_1","rna extraction method:ch1","sample type:ch1","tissue:ch1"
"GSM2123259","TRIzol_unpooled 1","GSM2123259","Public on Aug 01 2016","Apr 14 2016","May 15 2019","SRA","1","TRIzol_unpooled_serum","Homo sapiens","tissue: Serum","sample type: Orphan samples","sample type: DoD Serum Repository","sample type: small RNA","sample type: unpooled serum samples","rna extraction method: TRIzol","total RNA","Different extraction procedures such as TRIzol with and without carrier glycogen/yeast tRNA/bacteriophage MS2), miRNAeasy ,mirVANA and TRIzol with exosome precipitation using exoquick buffer.","Illumina  Trueseq small RNA kit","9606","Basecalls performed using CASAVA version 1.8.2","Reads were processed further for quality assessment, quality filtering, and adaptor trimming, and quality filtered again using a Phred quality score threshold of 20","The ligated adaptor sequences were trimmed, leaving a minimum overlap of five bases while allowing an error rate of 0.1 using CutAdapt 1.2.1","Using the short read aligner Bowtie 1.0.0 [27], filtered sequence reads were aligned to the Human reference genome assembly humanv37 from Ensembl and the best hits to the genome were identified using BEDtools 2.17","Small RNA species were annotated by mapping with the reference gene feature annotation table from the Ensembl database","Quantification/enrichment reads for miRNAs were first aligned to the Rfam RNA families database to filter other small RNA species, and then reads were mapped for small RNA annotation against reference.mature/precursor hg19_mature RNA sequences from the miRBase (miRbase 19)database .The miRNA read count matrix for each sample was generated using open source tools Picard 1.84","Genome_build: mirBASE19","Supplementary_files_format_and_content: miRNA count file","GPL15456","Aarti,,Gautam","aarti.gautam.civ@mail.mil","301-619-7683","Integrative Systems Biology","USACEHR","568 Doughten Drive","Ft. Detrick","MD","21702","USA","0","Illumina HiScanSQ","size fractionation","transcriptomic","miRNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN04853047","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1704739","NONE","TRIzol","Orphan samples;DoD Serum Repository;small RNA;unpooled serum samples","Serum"
"GSM2123260","TRIzol_unpooled 2","GSM2123260","Public on Aug 01 2016","Apr 14 2016","May 15 2019","SRA","1","TRIzol_unpooled_serum","Homo sapiens","tissue: Serum","sample type: Orphan samples","sample type: DoD Serum Repository","sample type: small RNA","sample type: unpooled serum samples","rna extraction method: TRIzol","total RNA","Different extraction procedures such as TRIzol with and without carrier glycogen/yeast tRNA/bacteriophage MS2), miRNAeasy ,mirVANA and TRIzol with exosome precipitation using exoquick buffer.","Illumina  Trueseq small RNA kit","9606","Basecalls performed using CASAVA version 1.8.2","Reads were processed further for quality assessment, quality filtering, and adaptor trimming, and quality filtered again using a Phred quality score threshold of 20","The ligated adaptor sequences were trimmed, leaving a minimum overlap of five bases while allowing an error rate of 0.1 using CutAdapt 1.2.1","Using the short read aligner Bowtie 1.0.0 [27], filtered sequence reads were aligned to the Human reference genome assembly humanv37 from Ensembl and the best hits to the genome were identified using BEDtools 2.17","Small RNA species were annotated by mapping with the reference gene feature annotation table from the Ensembl database","Quantification/enrichment reads for miRNAs were first aligned to the Rfam RNA families database to filter other small RNA species, and then reads were mapped for small RNA annotation against reference.mature/precursor hg19_mature RNA sequences from the miRBase (miRbase 19)database .The miRNA read count matrix for each sample was generated using open source tools Picard 1.84","Genome_build: mirBASE19","Supplementary_files_format_and_content: miRNA count file","GPL15456","Aarti,,Gautam","aarti.gautam.civ@mail.mil","301-619-7683","Integrative Systems Biology","USACEHR","568 Doughten Drive","Ft. Detrick","MD","21702","USA","0","Illumina HiScanSQ","size fractionation","transcriptomic","miRNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN04853048","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1704740","NONE","TRIzol","Orphan samples;DoD Serum Repository;small RNA;unpooled serum samples","Serum"
"GSM2123261","TRIzol_unpooled 3","GSM2123261","Public on Aug 01 2016","Apr 14 2016","May 15 2019","SRA","1","TRIzol_unpooled_serum","Homo sapiens","tissue: Serum","sample type: Orphan samples","sample type: DoD Serum Repository","sample type: small RNA","sample type: unpooled serum samples","rna extraction method: TRIzol","total RNA","Different extraction procedures such as TRIzol with and without carrier glycogen/yeast tRNA/bacteriophage MS2), miRNAeasy ,mirVANA and TRIzol with exosome precipitation using exoquick buffer.","Illumina  Trueseq small RNA kit","9606","Basecalls performed using CASAVA version 1.8.2","Reads were processed further for quality assessment, quality filtering, and adaptor trimming, and quality filtered again using a Phred quality score threshold of 20","The ligated adaptor sequences were trimmed, leaving a minimum overlap of five bases while allowing an error rate of 0.1 using CutAdapt 1.2.1","Using the short read aligner Bowtie 1.0.0 [27], filtered sequence reads were aligned to the Human reference genome assembly humanv37 from Ensembl and the best hits to the genome were identified using BEDtools 2.17","Small RNA species were annotated by mapping with the reference gene feature annotation table from the Ensembl database","Quantification/enrichment reads for miRNAs were first aligned to the Rfam RNA families database to filter other small RNA species, and then reads were mapped for small RNA annotation against reference.mature/precursor hg19_mature RNA sequences from the miRBase (miRbase 19)database .The miRNA read count matrix for each sample was generated using open source tools Picard 1.84","Genome_build: mirBASE19","Supplementary_files_format_and_content: miRNA count file","GPL15456","Aarti,,Gautam","aarti.gautam.civ@mail.mil","301-619-7683","Integrative Systems Biology","USACEHR","568 Doughten Drive","Ft. Detrick","MD","21702","USA","0","Illumina HiScanSQ","size fractionation","transcriptomic","miRNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN04853049","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1704741","NONE","TRIzol","Orphan samples;DoD Serum Repository;small RNA;unpooled serum samples","Serum"
"GSM2123262","TRIzol LS+glycogen_unpooled 1","GSM2123262","Public on Aug 01 2016","Apr 14 2016","May 15 2019","SRA","1","TRIzol LS+glycogen_unpooled_serum","Homo sapiens","tissue: Serum","sample type: Orphan samples","sample type: DoD Serum Repository","sample type: small RNA","sample type: unpooled serum samples","rna extraction method: TRIzol LS+glycogen","total RNA","Different extraction procedures such as TRIzol with and without carrier glycogen/yeast tRNA/bacteriophage MS2), miRNAeasy ,mirVANA and TRIzol with exosome precipitation using exoquick buffer.","Illumina  Trueseq small RNA kit","9606","Basecalls performed using CASAVA version 1.8.2","Reads were processed further for quality assessment, quality filtering, and adaptor trimming, and quality filtered again using a Phred quality score threshold of 20","The ligated adaptor sequences were trimmed, leaving a minimum overlap of five bases while allowing an error rate of 0.1 using CutAdapt 1.2.1","Using the short read aligner Bowtie 1.0.0 [27], filtered sequence reads were aligned to the Human reference genome assembly humanv37 from Ensembl and the best hits to the genome were identified using BEDtools 2.17","Small RNA species were annotated by mapping with the reference gene feature annotation table from the Ensembl database","Quantification/enrichment reads for miRNAs were first aligned to the Rfam RNA families database to filter other small RNA species, and then reads were mapped for small RNA annotation against reference.mature/precursor hg19_mature RNA sequences from the miRBase (miRbase 19)database .The miRNA read count matrix for each sample was generated using open source tools Picard 1.84","Genome_build: mirBASE19","Supplementary_files_format_and_content: miRNA count file","GPL15456","Aarti,,Gautam","aarti.gautam.civ@mail.mil","301-619-7683","Integrative Systems Biology","USACEHR","568 Doughten Drive","Ft. Detrick","MD","21702","USA","0","Illumina HiScanSQ","size fractionation","transcriptomic","miRNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN04853050","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1704742","NONE","TRIzol LS+glycogen","Orphan samples;DoD Serum Repository;small RNA;unpooled serum samples","Serum"
"GSM2123263","TRIzol LS+glycogen_unpooled 2","GSM2123263","Public on Aug 01 2016","Apr 14 2016","May 15 2019","SRA","1","TRIzol LS+glycogen_unpooled_serum","Homo sapiens","tissue: Serum","sample type: Orphan samples","sample type: DoD Serum Repository","sample type: small RNA","sample type: unpooled serum samples","rna extraction method: TRIzol LS+glycogen","total RNA","Different extraction procedures such as TRIzol with and without carrier glycogen/yeast tRNA/bacteriophage MS2), miRNAeasy ,mirVANA and TRIzol with exosome precipitation using exoquick buffer.","Illumina  Trueseq small RNA kit","9606","Basecalls performed using CASAVA version 1.8.2","Reads were processed further for quality assessment, quality filtering, and adaptor trimming, and quality filtered again using a Phred quality score threshold of 20","The ligated adaptor sequences were trimmed, leaving a minimum overlap of five bases while allowing an error rate of 0.1 using CutAdapt 1.2.1","Using the short read aligner Bowtie 1.0.0 [27], filtered sequence reads were aligned to the Human reference genome assembly humanv37 from Ensembl and the best hits to the genome were identified using BEDtools 2.17","Small RNA species were annotated by mapping with the reference gene feature annotation table from the Ensembl database","Quantification/enrichment reads for miRNAs were first aligned to the Rfam RNA families database to filter other small RNA species, and then reads were mapped for small RNA annotation against reference.mature/precursor hg19_mature RNA sequences from the miRBase (miRbase 19)database .The miRNA read count matrix for each sample was generated using open source tools Picard 1.84","Genome_build: mirBASE19","Supplementary_files_format_and_content: miRNA count file","GPL15456","Aarti,,Gautam","aarti.gautam.civ@mail.mil","301-619-7683","Integrative Systems Biology","USACEHR","568 Doughten Drive","Ft. Detrick","MD","21702","USA","0","Illumina HiScanSQ","size fractionation","transcriptomic","miRNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN04853051","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1704743","NONE","TRIzol LS+glycogen","Orphan samples;DoD Serum Repository;small RNA;unpooled serum samples","Serum"
"GSM2123264","TRIzol LS+glycogen_unpooled 3","GSM2123264","Public on Aug 01 2016","Apr 14 2016","May 15 2019","SRA","1","TRIzol LS+glycogen_unpooled_serum","Homo sapiens","tissue: Serum","sample type: Orphan samples","sample type: DoD Serum Repository","sample type: small RNA","sample type: unpooled serum samples","rna extraction method: TRIzol LS+glycogen","total RNA","Different extraction procedures such as TRIzol with and without carrier glycogen/yeast tRNA/bacteriophage MS2), miRNAeasy ,mirVANA and TRIzol with exosome precipitation using exoquick buffer.","Illumina  Trueseq small RNA kit","9606","Basecalls performed using CASAVA version 1.8.2","Reads were processed further for quality assessment, quality filtering, and adaptor trimming, and quality filtered again using a Phred quality score threshold of 20","The ligated adaptor sequences were trimmed, leaving a minimum overlap of five bases while allowing an error rate of 0.1 using CutAdapt 1.2.1","Using the short read aligner Bowtie 1.0.0 [27], filtered sequence reads were aligned to the Human reference genome assembly humanv37 from Ensembl and the best hits to the genome were identified using BEDtools 2.17","Small RNA species were annotated by mapping with the reference gene feature annotation table from the Ensembl database","Quantification/enrichment reads for miRNAs were first aligned to the Rfam RNA families database to filter other small RNA species, and then reads were mapped for small RNA annotation against reference.mature/precursor hg19_mature RNA sequences from the miRBase (miRbase 19)database .The miRNA read count matrix for each sample was generated using open source tools Picard 1.84","Genome_build: mirBASE19","Supplementary_files_format_and_content: miRNA count file","GPL15456","Aarti,,Gautam","aarti.gautam.civ@mail.mil","301-619-7683","Integrative Systems Biology","USACEHR","568 Doughten Drive","Ft. Detrick","MD","21702","USA","0","Illumina HiScanSQ","size fractionation","transcriptomic","miRNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN04853052","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1704744","NONE","TRIzol LS+glycogen","Orphan samples;DoD Serum Repository;small RNA;unpooled serum samples","Serum"
"GSM2123265","TRIzol+MS2_unpooled 1","GSM2123265","Public on Aug 01 2016","Apr 14 2016","May 15 2019","SRA","1","TRIzol+MS2_unpooled_serum","Homo sapiens","tissue: Serum","sample type: Orphan samples","sample type: DoD Serum Repository","sample type: small RNA","sample type: unpooled serum samples","rna extraction method: TRIzol+MS2","total RNA","Different extraction procedures such as TRIzol with and without carrier glycogen/yeast tRNA/bacteriophage MS2), miRNAeasy ,mirVANA and TRIzol with exosome precipitation using exoquick buffer.","Illumina  Trueseq small RNA kit","9606","Basecalls performed using CASAVA version 1.8.2","Reads were processed further for quality assessment, quality filtering, and adaptor trimming, and quality filtered again using a Phred quality score threshold of 20","The ligated adaptor sequences were trimmed, leaving a minimum overlap of five bases while allowing an error rate of 0.1 using CutAdapt 1.2.1","Using the short read aligner Bowtie 1.0.0 [27], filtered sequence reads were aligned to the Human reference genome assembly humanv37 from Ensembl and the best hits to the genome were identified using BEDtools 2.17","Small RNA species were annotated by mapping with the reference gene feature annotation table from the Ensembl database","Quantification/enrichment reads for miRNAs were first aligned to the Rfam RNA families database to filter other small RNA species, and then reads were mapped for small RNA annotation against reference.mature/precursor hg19_mature RNA sequences from the miRBase (miRbase 19)database .The miRNA read count matrix for each sample was generated using open source tools Picard 1.84","Genome_build: mirBASE19","Supplementary_files_format_and_content: miRNA count file","GPL15456","Aarti,,Gautam","aarti.gautam.civ@mail.mil","301-619-7683","Integrative Systems Biology","USACEHR","568 Doughten Drive","Ft. Detrick","MD","21702","USA","0","Illumina HiScanSQ","size fractionation","transcriptomic","miRNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN04853053","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1704745","NONE","TRIzol+MS2","Orphan samples;DoD Serum Repository;small RNA;unpooled serum samples","Serum"
"GSM2123266","TRIzol+MS2_unpooled 2","GSM2123266","Public on Aug 01 2016","Apr 14 2016","May 15 2019","SRA","1","TRIzol+MS2_unpooled_serum","Homo sapiens","tissue: Serum","sample type: Orphan samples","sample type: DoD Serum Repository","sample type: small RNA","sample type: unpooled serum samples","rna extraction method: TRIzol+MS2","total RNA","Different extraction procedures such as TRIzol with and without carrier glycogen/yeast tRNA/bacteriophage MS2), miRNAeasy ,mirVANA and TRIzol with exosome precipitation using exoquick buffer.","Illumina  Trueseq small RNA kit","9606","Basecalls performed using CASAVA version 1.8.2","Reads were processed further for quality assessment, quality filtering, and adaptor trimming, and quality filtered again using a Phred quality score threshold of 20","The ligated adaptor sequences were trimmed, leaving a minimum overlap of five bases while allowing an error rate of 0.1 using CutAdapt 1.2.1","Using the short read aligner Bowtie 1.0.0 [27], filtered sequence reads were aligned to the Human reference genome assembly humanv37 from Ensembl and the best hits to the genome were identified using BEDtools 2.17","Small RNA species were annotated by mapping with the reference gene feature annotation table from the Ensembl database","Quantification/enrichment reads for miRNAs were first aligned to the Rfam RNA families database to filter other small RNA species, and then reads were mapped for small RNA annotation against reference.mature/precursor hg19_mature RNA sequences from the miRBase (miRbase 19)database .The miRNA read count matrix for each sample was generated using open source tools Picard 1.84","Genome_build: mirBASE19","Supplementary_files_format_and_content: miRNA count file","GPL15456","Aarti,,Gautam","aarti.gautam.civ@mail.mil","301-619-7683","Integrative Systems Biology","USACEHR","568 Doughten Drive","Ft. Detrick","MD","21702","USA","0","Illumina HiScanSQ","size fractionation","transcriptomic","miRNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN04853054","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1704746","NONE","TRIzol+MS2","Orphan samples;DoD Serum Repository;small RNA;unpooled serum samples","Serum"
"GSM2123267","TRIzol+MS2_unpooled 3","GSM2123267","Public on Aug 01 2016","Apr 14 2016","May 15 2019","SRA","1","TRIzol+MS2_unpooled_serum","Homo sapiens","tissue: Serum","sample type: Orphan samples","sample type: DoD Serum Repository","sample type: small RNA","sample type: unpooled serum samples","rna extraction method: TRIzol+MS2","total RNA","Different extraction procedures such as TRIzol with and without carrier glycogen/yeast tRNA/bacteriophage MS2), miRNAeasy ,mirVANA and TRIzol with exosome precipitation using exoquick buffer.","Illumina  Trueseq small RNA kit","9606","Basecalls performed using CASAVA version 1.8.2","Reads were processed further for quality assessment, quality filtering, and adaptor trimming, and quality filtered again using a Phred quality score threshold of 20","The ligated adaptor sequences were trimmed, leaving a minimum overlap of five bases while allowing an error rate of 0.1 using CutAdapt 1.2.1","Using the short read aligner Bowtie 1.0.0 [27], filtered sequence reads were aligned to the Human reference genome assembly humanv37 from Ensembl and the best hits to the genome were identified using BEDtools 2.17","Small RNA species were annotated by mapping with the reference gene feature annotation table from the Ensembl database","Quantification/enrichment reads for miRNAs were first aligned to the Rfam RNA families database to filter other small RNA species, and then reads were mapped for small RNA annotation against reference.mature/precursor hg19_mature RNA sequences from the miRBase (miRbase 19)database .The miRNA read count matrix for each sample was generated using open source tools Picard 1.84","Genome_build: mirBASE19","Supplementary_files_format_and_content: miRNA count file","GPL15456","Aarti,,Gautam","aarti.gautam.civ@mail.mil","301-619-7683","Integrative Systems Biology","USACEHR","568 Doughten Drive","Ft. Detrick","MD","21702","USA","0","Illumina HiScanSQ","size fractionation","transcriptomic","miRNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN04853055","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1704747","NONE","TRIzol+MS2","Orphan samples;DoD Serum Repository;small RNA;unpooled serum samples","Serum"
"GSM2123268","TRIzol+yeast tRNA_unpooled 1","GSM2123268","Public on Aug 01 2016","Apr 14 2016","May 15 2019","SRA","1","TRIzol+yeast tRNA_unpooled_serum","Homo sapiens","tissue: Serum","sample type: Orphan samples","sample type: DoD Serum Repository","sample type: small RNA","sample type: unpooled serum samples","rna extraction method: TRIzol+yeast tRNA","total RNA","Different extraction procedures such as TRIzol with and without carrier glycogen/yeast tRNA/bacteriophage MS2), miRNAeasy ,mirVANA and TRIzol with exosome precipitation using exoquick buffer.","Illumina  Trueseq small RNA kit","9606","Basecalls performed using CASAVA version 1.8.2","Reads were processed further for quality assessment, quality filtering, and adaptor trimming, and quality filtered again using a Phred quality score threshold of 20","The ligated adaptor sequences were trimmed, leaving a minimum overlap of five bases while allowing an error rate of 0.1 using CutAdapt 1.2.1","Using the short read aligner Bowtie 1.0.0 [27], filtered sequence reads were aligned to the Human reference genome assembly humanv37 from Ensembl and the best hits to the genome were identified using BEDtools 2.17","Small RNA species were annotated by mapping with the reference gene feature annotation table from the Ensembl database","Quantification/enrichment reads for miRNAs were first aligned to the Rfam RNA families database to filter other small RNA species, and then reads were mapped for small RNA annotation against reference.mature/precursor hg19_mature RNA sequences from the miRBase (miRbase 19)database .The miRNA read count matrix for each sample was generated using open source tools Picard 1.84","Genome_build: mirBASE19","Supplementary_files_format_and_content: miRNA count file","GPL15456","Aarti,,Gautam","aarti.gautam.civ@mail.mil","301-619-7683","Integrative Systems Biology","USACEHR","568 Doughten Drive","Ft. Detrick","MD","21702","USA","0","Illumina HiScanSQ","size fractionation","transcriptomic","miRNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN04853056","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1704748","NONE","TRIzol+yeast tRNA","Orphan samples;DoD Serum Repository;small RNA;unpooled serum samples","Serum"
