"","GSM3151945","GSM3151946","GSM3151947","GSM3151948","GSM3151949","GSM3151950","GSM3151951","GSM3151952","GSM3151953","GSM3151954","GSM3151955","GSM3151956","GSM3151957","GSM3151958","GSM3151959","GSM3151960","GSM3151961","GSM3151962","GSM3151963","GSM3151964","GSM3151965","GSM3151966","GSM3151967","GSM3151968","GSM3151969","GSM3151970","GSM3151971","GSM3151972"
"hsa-miR-106a-3p",0,0,0,0,1,0,2,0,1.58496250072116,0,0,0,0,0,0,0,0,0,0,0,1,0,1.58496250072116,1,0,0,0,0
"hsa-miR-106a-5p",0,0,0,0,11.118292233027,11.2784494582205,10.7389366816761,10.2807707701306,10.6073303137496,8.66533591718518,0,0,0,0,0,0,0,1.58496250072116,10.0741414627525,10.1059085085712,11.3331553503106,9.6724253419715,8.96000193206808,10.1699250014423,1.58496250072116,0,0,0
"hsa-miR-106b-3p",1.58496250072116,3,1.58496250072116,1.58496250072116,10.3597495603223,10.8297227350861,10.6429542234803,10.12153351734,10.2514824106202,9.4594316186373,1,0,1,0,1.58496250072116,4.70043971814109,0,3.90689059560852,9.85174904141606,10.468624042918,11.3907063728728,9.77643303244473,8.97727992349992,10.410451351504,2,2.58496250072116,0,0
"hsa-miR-106b-5p",1.58496250072116,0,1,3.70043971814109,9.45327063401062,9.63662462054365,9.83289001416474,8.94251450533924,9.29001884693262,7.876516946565,0,0,0,0,1.58496250072116,2.32192809488736,0,2.8073549220576,9.22641219278879,9.36413465500805,9.89633240390994,8.62935662007961,8.0389189892923,9.18239435340453,0,2,0,0
"hsa-miR-107",3.58496250072116,3.58496250072116,3.90689059560852,5.49185309632967,12.981567281903,13.567480801143,13.6084858564953,12.6624458575807,12.9699260819199,12.1623913287569,3.16992500144231,0,0,1,2.58496250072116,7.13955135239879,0,7.36632221424582,13.495230456532,13.1882797519641,14.2298702722872,12.9886846867722,11.399277924509,13.1044349505508,2.32192809488736,6.20945336562895,0,1
"hsa-miR-10a-3p",0,0,0,0,4.16992500144231,3.58496250072116,4.32192809488736,3.16992500144231,3.58496250072116,2,0,0,0,0,0,0,0,0,3.58496250072116,3.4594316186373,3.4594316186373,3.16992500144231,3.16992500144231,3.90689059560852,0,0,0,0
"hsa-miR-10a-5p",9.94836723158468,8.24792751344359,5.88264304936184,7.94251450533924,13.2209828510818,13.4917278569493,13.4303218668481,12.8101699376647,12.9331373682567,11.6710987257485,2,1,0,1,7.37503943134692,7.78135971352466,6.6724253419715,8.44708322620965,12.6445322946254,13.0647427647503,13.0093037783248,12.7795141791435,12.4356702609366,13.0327345285867,7.67948009950545,7.79441586635011,0,0
"hsa-miR-10b-3p",0,0,0,0,0,0,0,1.58496250072116,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-10b-5p",9.54689445988764,9.01959072835788,6.85798099512757,8.54303182025524,13.1952183937621,13.4709130262749,13.4121728658238,12.7832028900644,12.9113919878435,11.6662240028032,2.8073549220576,1,0,0,8.1548181090521,8.84235034341381,2.8073549220576,9.04984854945056,12.626393504174,13.0332509140987,12.9837061926593,12.7815646272443,12.4075333316713,13.0072025107497,7.99435343685886,8.78135971352466,0,0
"hsa-miR-1178-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1178-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1179",0,0,0,0,2.58496250072116,2.32192809488736,2.32192809488736,1.58496250072116,1.58496250072116,1,0,0,0,0,0,0,0,0,0,2.58496250072116,2.8073549220576,2,1,2.32192809488736,0,0,0,0
"hsa-miR-1180-3p",1,0,1,0,3.32192809488736,3.4594316186373,4.75488750216347,3.32192809488736,3.8073549220576,2.58496250072116,0,0,0,1,0,1,0,0,4,3.4594316186373,5.12928301694497,4.16992500144231,2.32192809488736,3.4594316186373,0,1.58496250072116,0,0
"hsa-miR-1180-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1181",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1182",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1183",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1184-1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1184-2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1184-3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1185-1-3p",0,0,0,0,3.58496250072116,5.55458885167764,3.16992500144231,4.39231742277876,2,1.58496250072116,0,0,0,0,0,1,0,0,2.8073549220576,4.24792751344359,3.58496250072116,1.58496250072116,1.58496250072116,5.49185309632967,0,0,0,0
"hsa-miR-1185-1-5p",0,0,0,1,2.58496250072116,3,0,2.58496250072116,0,1.58496250072116,0,0,0,0,0,0,0,0,2.8073549220576,2.8073549220576,2.32192809488736,1,0,3,0,0,0,0
"hsa-miR-1185-2-3p",0,0,0,0,3.58496250072116,5.49185309632967,3,4.32192809488736,2,1.58496250072116,0,0,0,0,0,1,0,0,2.8073549220576,4.24792751344359,3.58496250072116,1.58496250072116,1.58496250072116,5.4262647547021,0,0,0,0
"hsa-miR-1185-2-5p",0,0,0,1,2.58496250072116,3,0,2.58496250072116,0,1.58496250072116,0,0,0,0,0,0,0,0,2.8073549220576,2.8073549220576,2.32192809488736,1,0,3,0,0,0,0
"hsa-miR-1193",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"hsa-miR-1197",0,0,0,0,3.8073549220576,6.53915881110803,3.90689059560852,5.35755200461808,3.8073549220576,1.58496250072116,0,0,0,0,0,0,0,0,5.49185309632967,4.8073549220576,4.52356195605701,4,3.32192809488736,5.24792751344359,0,0,0,0
"hsa-miR-1199-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1199-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1200",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1202",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1203",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1204",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1205",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1206",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1207-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1207-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1208",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-122-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-122-5p",0,0,0,0,9.24555270625568,7.10852445677817,10.5255208090951,9.65463602852797,8.11894107272351,7.06608919045777,0,0,0,0,0,2,0,1,8.92184093707449,6.74146698640115,8.37068740680722,12.3253054550897,5.70043971814109,7.94836723158468,0,0,0,0
"hsa-miR-1224-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1224-5p",0,0,0,0,0,2.58496250072116,2,1.58496250072116,1.58496250072116,2,0,0,0,0,0,0,0,0,2,2.32192809488736,1.58496250072116,2.8073549220576,1,2.58496250072116,0,0,0,0
"hsa-miR-1225-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1225-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1226-3p",0,0,0,0,1.58496250072116,1,1,0,2,0,0,0,0,0,0,0,0,0,1,1,2.32192809488736,1,0,2.32192809488736,0,0,0,0
"hsa-miR-1226-5p",0,0,0,0,1.58496250072116,1,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"hsa-miR-1227-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1227-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1228-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1228-5p",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1229-3p",0,0,0,0,1.58496250072116,2,1.58496250072116,0,1,1,0,0,0,0,0,0,0,0,2,3.16992500144231,1.58496250072116,1.58496250072116,1.58496250072116,2,0,0,0,0
"hsa-miR-1229-5p",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.58496250072116,0,0,0,0,0,0,0,0,0
"hsa-miR-1231",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1233-1-3p",0,0,0,0,0,0,0,0,1.58496250072116,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"hsa-miR-1233-1-5p",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1.58496250072116,0,0,0,0,0,0,0
"hsa-miR-1233-2-3p",0,0,0,0,0,0,0,0,1.58496250072116,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"hsa-miR-1233-2-5p",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1.58496250072116,0,0,0,0,0,0,0
"hsa-miR-1234-3p",0,0,0,0,0,1.58496250072116,0,1,1.58496250072116,0,0,0,0,0,0,0,0,0,0,0,1.58496250072116,0,0,0,0,0,0,0
"hsa-miR-1236-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1236-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1237-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1237-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1238-3p",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1238-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-124-1-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-124-1-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-124-2-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-124-2-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-124-3-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-124-3-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1243",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1244-1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1244-2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1244-3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1244-4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1245a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1245b-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1245b-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1246",0,0,0,0,3.4594316186373,2.32192809488736,1.58496250072116,3.58496250072116,2.8073549220576,2,0,0,0,0,0,0,0,0,2,2.58496250072116,1.58496250072116,3.90689059560852,2.58496250072116,1.58496250072116,0,1,0,0
"hsa-miR-1247-3p",1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"hsa-miR-1247-5p",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1248",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1249-3p",0,0,0,0,1.58496250072116,1.58496250072116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.58496250072116,0,0,0,0,0,0
"hsa-miR-1249-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1250-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1250-5p",0,0,0,0,2,1.58496250072116,1,0,1,0,0,0,0,0,0,0,0,0,1,1.58496250072116,1,1,0,1,0,0,0,0
"hsa-miR-1251-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1251-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1252-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1252-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1253",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1254-1",0,0,0,0,3.70043971814109,4,3.58496250072116,3,3.16992500144231,2,0,0,0,0,0,0,0,0,2.8073549220576,3.90689059560852,4.70043971814109,2.58496250072116,1.58496250072116,3.16992500144231,0,0,0,0
"hsa-miR-1254-2",0,0,0,0,3.70043971814109,4,3.58496250072116,3,3.16992500144231,2,0,0,0,0,0,0,0,0,2.8073549220576,3.90689059560852,4.70043971814109,2.58496250072116,1.58496250072116,3.16992500144231,0,0,0,0
