"","GSM3703644","GSM3703645","GSM3703646","GSM3703647","GSM3703648","GSM3703649","GSM3703650"
"hsa-let-7a-5p",10.7798269377759,12.233158665639,8.67949698949486,12.1817930637994,1.39544673569892,6.69825182210043,7.07998710624766
"hsa-let-7a-3p",7.64217013712042,8.91265764834049,3.39392410226904,2.97649195105918,0,0,2.60677384404868
"hsa-let-7a-2-3p",0,0.956874443547633,0,0,0,0,0
"hsa-let-7b-5p",9.08197601404546,15.0204979475733,11.1691989628405,9.77426423496275,0.688404188397458,4.54723387761439,7.72110534236959
"hsa-let-7b-3p",4.39007607031028,7.4286742230718,3.39392410226904,2.73731901115941,0,0,0
"hsa-let-7c-5p",6.32124265193735,8.2050909098728,4.7632681477307,8.8696798934626,1.33015679879996,4.40738674449641,4.15191562740686
"hsa-let-7c-3p",0,0.556404890038547,0,0.679153520838089,0,0,0
"hsa-let-7d-5p",6.61639004669403,8.31149267085894,5.67063075833056,6.34520651592762,0,1.54596836910529,3.87661516926662
"hsa-let-7d-3p",7.02104103345448,9.32518378230245,6.17668180582038,4.38122106667007,0,1.76557717794607,2.60677384404868
"hsa-let-7e-5p",8.12271619778415,8.4768693086639,4.32362226642943,7.36327096872572,0,1.65997021258636,3.52565548044675
"hsa-let-7e-3p",4.72318172968147,2.62674283000249,1.75612661895056,1.53076994016768,0,0,0
"hsa-let-7f-5p",12.3871559600512,11.8650635301888,9.40159079124299,12.3384140518386,2.19591448498358,7.47771132244739,8.11386038928245
"hsa-let-7f-1-3p",5.4178525148859,6.59284120645146,3.9324013894893,1.73070516099876,0,0,1.62606527254028
"hsa-let-7f-2-3p",5.44816091776605,3.91810950052468,0,0.515409693385956,0,0,0
"hsa-miR-15a-5p",3.77678831609328,0.956874443547633,0,0,0,0,0
"hsa-miR-15a-3p",0.931758687844908,0.556404890038547,0,0,0,0,0
"hsa-miR-16-5p",10.9888472647985,8.09270165158194,4.99608137265733,4.6391511106893,0,0.678071905112638,3.31192446968712
"hsa-miR-16-1-3p",1.49323741920022,0,0,0,0,0,0.939677937114794
"hsa-miR-17-5p",10.6505743026503,7.38872166533049,6.7549823428867,4.56780096310449,0,0.678071905112638,3.9407493500474
"hsa-miR-17-3p",2.21113682698228,0,0,0,0,0,0
"hsa-miR-18a-5p",6.30477385704751,2.73265994433503,0,0,0,0,0
"hsa-miR-18a-3p",4.03820788906272,4.12680770314203,3.39392410226904,0,0,0,0
"hsa-miR-19a-5p",0,0,0,0,0,0,0
"hsa-miR-19a-3p",7.27885363499243,6.47567831572105,2.52504152766589,0.826192536236602,0,0,0
"hsa-miR-19b-1-5p",1.49323741920022,0,0,0,0,0,0
"hsa-miR-19b-3p",7.96919942656249,6.85572938095193,5.09976227909941,2.75578489991633,0,0,2.94059902429441
"hsa-miR-19b-2-5p",0,0,0,0,0,0,0
"hsa-miR-20a-5p",12.1863200410988,9.19339722476474,8.42384117330541,5.82078655378056,0.463203920428625,2.08409829021367,4.60211833021343
"hsa-miR-20a-3p",0,0.556404890038547,0,0,0,0,0
"hsa-miR-21-5p",17.8527996882937,15.5286731326318,13.0708534462627,11.1083258111771,3.74158563307705,7.83127810455196,10.5704903494094
"hsa-miR-21-3p",9.26762685314741,5.74695226963796,3.39392410226904,1.78563424445542,0,0,2.24974871508357
"hsa-miR-22-5p",6.3536267616246,6.55001255534247,4.14122840555475,3.66450559562751,0,0,0
"hsa-miR-22-3p",10.8950118018341,7.95994630901834,5.45295118884628,7.21228333940007,0.58014548442338,2.49059580094808,5.87056692933203
"hsa-miR-23a-5p",0.931758687844908,1.93485614127344,0,0,0,0,0
"hsa-miR-23a-3p",10.7482024954834,10.8783109116995,10.1336369860798,6.70246777551458,0,1.38956681176273,3.48322245776334
"hsa-miR-24-1-5p",0,1.74540945549809,0,0,0,0,0
"hsa-miR-24-3p",11.8752448958211,11.7487537979126,7.96972092879451,6.53420014879265,0.493339908813507,1.63226821549951,4.06105034805572
"hsa-miR-24-2-5p",5.4178525148859,7.7520795309486,0,1.24738070434193,0,0,0
"hsa-miR-25-5p",2.46936505370484,3.77667252955197,0,0,0,0,1.17120682741814
"hsa-miR-25-3p",12.3785751841013,13.0810067273871,10.4626201577441,6.86541779178597,0.635336494705166,3.32195694849964,5.33315892908457
"hsa-miR-26a-5p",12.5321486386646,11.6510224422143,9.26328586933217,11.804059772236,1.61706334388818,6.81893617748027,6.83411325517447
"hsa-miR-26a-1-3p",0,0.556404890038547,0,0,0,0,0
"hsa-miR-26b-5p",9.86731287588011,9.3576256769502,5.6016578935679,8.79144423550251,0,2.92603738371565,4.57205897040009
"hsa-miR-26b-3p",0.931758687844908,0.956874443547633,0,1.29865831556452,0,0,0
"hsa-miR-27a-5p",5.74527229635097,4.67070439715562,6.12846044631675,2.14903169051834,0,1.60407132366886,2.0892269420704
"hsa-miR-27a-3p",12.6999571929527,11.6784150151011,7.28138111903496,5.51555477312899,0.432318066949524,3.00363821366405,4.23099455657009
"hsa-miR-28-5p",6.27126131663308,6.752472976081,3.39392410226904,4.09619437275993,0,0,1.22373144513811
"hsa-miR-28-3p",10.3729838654005,11.8156337041632,9.08525759913506,7.59336796478256,0,3.71372880291989,4.06824946155569
"hsa-miR-29a-5p",2.68833704310051,1.27005045639619,0,0,0,0,0
"hsa-miR-29a-3p",12.4171521949095,11.1693167371986,8.55732469070712,6.52279022146598,0,1.25096157353322,4.52052282506697
"hsa-miR-30a-5p",16.7243544321589,11.7380614288643,10.5360832151731,13.559551322001,1.31330390675793,8.14040392760508,7.41308967376211
"hsa-miR-30a-3p",12.4561233343597,12.2978215350083,10.8541150561784,10.4573076137514,0,6.00273626986905,4.14512309297923
"hsa-miR-31-5p",7.1278829236002,3.87248404718582,0,2.91211330482481,0,0.970853654340484,1.58650055528142
"hsa-miR-31-3p",4.25943821794044,2.62674283000249,0,1.22107278251506,0,0,0
"hsa-miR-32-5p",8.57129985816693,6.31442826093486,0,2.6996848802218,0,0,1.06011657601742
"hsa-miR-32-3p",3.45729222140427,3.31336195939222,0,0.790772037862,0,0,0
"hsa-miR-33a-5p",2.46936505370484,1.27005045639619,0,0,0,0,0
"hsa-miR-33a-3p",3.19668572296163,0,1.75612661895056,0,0,0,0
"hsa-miR-92a-1-5p",0,0.556404890038547,0,0,0,0,0
"hsa-miR-92a-3p",13.1240138167021,13.6129821764444,9.6943949771543,8.98701752469209,0.860287462510741,5.59159265637206,8.4341373776527
"hsa-miR-92a-2-5p",0,0,0,0,0,0,0
"hsa-miR-93-5p",11.6324994353886,8.09021247834586,6.12846044631675,5.16810846703979,0,1.93361040465259,4.07541282945208
"hsa-miR-93-3p",4.67273082151876,4.55994449634594,1.75612661895056,1.08168048865633,0,0,0
"hsa-miR-95-5p",0,0,0,0,0,0,0
"hsa-miR-95-3p",2.21113682698228,2.51240389345129,1.75612661895056,6.28371624027882,0,1.25096157353322,0
"hsa-miR-96-5p",8.09903372373129,7.35179349890194,2.52504152766589,2.66101986027016,0,0,1.11669744320102
"hsa-miR-96-3p",0,0,0,0,0,0,0
"hsa-miR-98-5p",6.95924620230417,8.4244812533518,4.63106352769304,5.86716257800215,0,1.48542682717024,4.00215341778353
"hsa-miR-98-3p",4.99361549352027,4.67070439715562,0,0.599603447602909,0,0,2.0892269420704
"hsa-miR-99a-5p",7.61570981511458,10.5500686555433,6.81714867603992,11.4895032977517,2.77677779042805,7.19892135913349,7.29076535215599
"hsa-miR-99a-3p",0.931758687844908,0,0,0.679153520838089,0,0,0
"hsa-miR-100-5p",8.61537031474563,15.8764514026922,6.39622286595391,10.1168115266116,1.79709600825491,5.38546555101611,7.46649090257985
"hsa-miR-100-3p",0,0,0,0,0,0,0
"hsa-miR-101-5p",0,0,0,0,0,0,0
"hsa-miR-101-3p",10.9323436584683,10.5867290019889,6.22334531579905,8.55858066369256,0.789103217501381,3.86396817597709,5.02829066396075
"hsa-miR-29b-1-5p",0,0,0,0,0,0,0
"hsa-miR-29b-3p",6.50546701228754,4.61638710584243,0,3.14002603351865,0,0,1.62606527254028
"hsa-miR-29b-2-5p",0,0,0,1.53076994016768,0,0,0
"hsa-miR-103a-2-5p",2.87839184521195,0.556404890038547,0,0.679153520838089,0,0,0
"hsa-miR-103a-3p",10.7064965360844,7.13708643442933,5.19648901774871,0,0,0,0
"hsa-miR-105-5p",0,4.84617234705944,0,0,0,0,1.22373144513811
"hsa-miR-105-3p",0,0.556404890038547,0,0,0,0,0
"hsa-miR-106a-5p",7.60901838873245,2.25235510138826,0,3.65469903318872,0,0,0
"hsa-miR-106a-3p",1.89638811235955,0,0,0,0,0,0
"hsa-miR-107",6.68162073680311,4.7981801544352,3.02392951716401,3.34902551348206,0,0,1.50401013681651
"hsa-miR-16-2-3p",7.08993981536396,9.87039970759656,6.35490698636552,1.65402302141103,0,0,0
"hsa-miR-192-5p",11.1764819799755,10.0755807629837,10.9834371494769,11.458380517344,0,6.01884556047339,6.07729855187808
"hsa-miR-192-3p",0,0,0,0,0,0,0
"hsa-miR-196a-5p",7.30393048849876,9.41543756625612,7.34606689389687,5.0589744777138,0,0.678071905112638,0
"hsa-miR-197-5p",0,1.27005045639619,0,0,0,0,0
"hsa-miR-197-3p",7.72495921220243,8.9934657649374,3.9324013894893,4.20432855546819,0,0,2.64579387007999
"hsa-miR-198",0,0,0,0,0,0,0
"hsa-miR-199a-5p",4.32623531696674,2.10232219119669,2.52504152766589,0,0,0,2.32377356369147
"hsa-miR-199a-3p",4.99361549352027,3.82537860389293,2.52504152766589,0,0,0,0
"hsa-miR-208a-5p",0,0,0,0,0,0,0
"hsa-miR-208a-3p",0,0,0,0,0,0,0
"hsa-miR-129-5p",4.77192254314169,6.88474320879083,6.39622286595391,1.80347504291766,0,1.05658352836637,1.97133201980803
"hsa-miR-129-1-3p",0,0,0,0.639880419850114,0,0,0
"hsa-miR-148a-5p",2.21113682698228,2.92371967874939,1.75612661895056,4.1106138055009,0,0,0.939677937114794
"hsa-miR-148a-3p",13.0198726031527,14.4385259935926,13.3081813547526,13.4386080869489,2.21412480535285,9.28358568445972,9.33283814620613
"hsa-miR-30c-5p",12.06993183838,10.928636880127,7.85586328159513,11.7138756937905,0.883229789032732,6.1611157549496,5.63403559737546
"hsa-miR-30c-2-3p",7.14648619730146,6.11338170767659,4.99608137265733,7.06506602153872,0,2.3448568962266,1.84297883178833
"hsa-miR-30d-5p",13.3711667998727,12.6030388092713,9.1888212405858,11.985261114005,1.44259853441663,7.78649965626474,7.15033525343107
"hsa-miR-30d-3p",4.62045738317456,3.38009217286703,1.75612661895056,2.66101986027016,0,0,0
"hsa-miR-139-5p",6.33752557045224,6.85572938095193,5.09976227909941,0.558169654834612,0,0,0
"hsa-miR-139-3p",0,2.83135031813718,3.68814678111998,0,0,0,0
"hsa-miR-147a",0,1.93485614127344,0,0,0,0,0
"hsa-miR-7-5p",8.96107254748542,8.97873905535498,6.43638840888119,0.515409693385956,0,2.49059580094808,2.7389191227297
"hsa-miR-7-1-3p",4.11578237063467,3.44387182839776,2.52504152766589,1.32365829102624,0,0,0
"hsa-miR-7-2-3p",0,0,0,0,0,0,0
"hsa-miR-10a-5p",12.2427943928519,15.0518154999662,11.9277990691192,12.5355868737354,0.883229789032732,9.69839161485877,6.83516868427209
"hsa-miR-10a-3p",7.64870989814978,6.78976576163427,4.48551699279265,3.33681180312609,0,0,0
"hsa-miR-10b-5p",10.4253419106505,15.076880245539,11.8675626940797,13.7193526782404,1.41137200805128,10.3130986628972,8.6750124463668
"hsa-miR-10b-3p",3.45729222140427,6.34815273165356,4.14122840555475,3.90266211742648,0,0.678071905112638,0
"hsa-miR-34a-5p",7.01092414578847,2.51240389345129,2.52504152766589,1.39604985762503,0,0,0
"hsa-miR-34a-3p",0.931758687844908,0,1.75612661895056,0,0,0,0
"hsa-miR-181a-5p",9.82895615917334,10.8513719241095,7.61464065197954,5.98921395651763,0.432318066949524,1.79081373364793,4.0096517329525
"hsa-miR-181a-2-3p",6.60298236616712,7.43260954470591,4.14122840555475,3.76817373615061,0,0.925999418556223,0
"hsa-miR-181b-5p",9.46210263878151,9.337828591715,6.78640033022519,4.13550203609124,0,1.01435529297707,2.94059902429441
"hsa-miR-181b-3p",2.46936505370484,1.52722050414117,1.75612661895056,0,0,0,0
"hsa-miR-181c-5p",0.931758687844908,0,0,0,0,0,0
"hsa-miR-181c-3p",3.33286544013371,2.3882170955374,0,0.959547614391803,0,0,0
"hsa-miR-182-5p",12.2473798735281,10.8746997718641,10.3671457361682,7.00748818269467,0,3.65995879917581,5.32115965516285
"hsa-miR-182-3p",1.49323741920022,3.09239351480968,0,0,0,0,0
