"","GSM1219133","GSM1219134","GSM1219135","GSM1219136"
"hsa-let-7a",19.65,19.89,20.85,17.94
"hsa-let-7a*",7.71,7.73,7.53,9.32
"hsa-let-7a-2*",5.33,8.01,6.02,4.2
"hsa-let-7b",18.25,15.59,20.06,15.63
"hsa-let-7b*",4.76,4.82,7.91,9.58
"hsa-let-7c",15.72,14.74,14.63,15.8
"hsa-let-7c*",0,1.9,0,3.06
"hsa-let-7d",13.56,14.15,13.43,14.6
"hsa-let-7d*",10.37,10.19,10.5,11.95
"hsa-let-7e",15.28,14.35,15.19,11.84
"hsa-let-7e*",4.76,5.99,4.08,7.39
"hsa-let-7f",18.32,18.92,19.04,16.59
"hsa-let-7f-1*",4.76,5.39,5.83,6.46
"hsa-let-7f-2*",3.81,3.4,0,7.3
"hsa-let-7g",14.83,15.89,15.09,15.87
"hsa-let-7g*",3.81,5.19,3.17,7.06
"hsa-let-7i",14.31,14.3,11.36,15.74
"hsa-let-7i*",7.04,7.57,4.08,10.31
"hsa-miR-1",10.72,3.4,4.08,20.13
"hsa-miR-100",18.95,18.59,18.56,15.62
"hsa-miR-100*",6.89,10.19,7.09,5.49
"hsa-miR-101",15.28,14.73,14.01,14.55
"hsa-miR-101*",6.05,4.22,3.17,7.67
"hsa-miR-103",16.21,17.34,15.45,15.07
"hsa-miR-103-2*",2.91,4.42,0,6.5
"hsa-miR-103-as",0,0,0,0
"hsa-miR-105",8.82,9.59,0,4.27
"hsa-miR-105*",2.91,5.52,0,1.5
"hsa-miR-106a",9.76,9.33,10.07,9.64
"hsa-miR-106a*",0,0,0,4.05
"hsa-miR-106b",12.94,14.92,13.49,13.48
"hsa-miR-106b*",10.4,9.88,10.19,7.59
"hsa-miR-107",8.41,9.99,8,14.04
"hsa-miR-10a",15.74,15.05,10.76,14.68
"hsa-miR-10a*",6.72,5.93,0,8.85
"hsa-miR-10b",14.1,4.51,7.59,16.55
"hsa-miR-10b*",4.76,0,0,9.68
"hsa-miR-1178",0,0,0,0
"hsa-miR-1179",2.91,2.69,0,8.6
"hsa-miR-1180",5.9,5.43,6.02,3.97
"hsa-miR-1181",0,0,0,0
"hsa-miR-1182",0,0,0,0
"hsa-miR-1183",0,0,0,0
"hsa-miR-1184",0,0,0,0
"hsa-miR-1185",2.91,1.24,0,7.28
"hsa-miR-1193",0,0,0,0
"hsa-miR-1197",0,0,0,3.69
"hsa-miR-1200",0,0,0,0
"hsa-miR-1201",0,6.76,0,4.52
"hsa-miR-1202",0,0,0,0
"hsa-miR-1203",0,0,0,0
"hsa-miR-1204",0,0,0,0
"hsa-miR-1205",0,0,0,0
"hsa-miR-1206",0,0,0,0
"hsa-miR-1207-3p",0,0,0,0
"hsa-miR-1207-5p",0,0,0,0
"hsa-miR-1208",0,0,0,0
"hsa-miR-122",14.79,4.42,6.33,14.26
"hsa-miR-122*",0,0,0,7.63
"hsa-miR-1224-3p",0,0,0,3.88
"hsa-miR-1224-5p",5.07,1.9,4.08,2.48
"hsa-miR-1225-3p",0,0,0,1.5
