"","GSM3334304","GSM3334305","GSM3334306","GSM3334307","GSM3334308","GSM3334309","GSM3334310","GSM3334311","GSM3334312","GSM3334313","GSM3334314","GSM3334315","GSM3334316","GSM3334317","GSM3334318","GSM3334319","GSM3334320","GSM3334321","GSM3334322","GSM3334323","GSM3334324","GSM3334325","GSM3334326","GSM3334327","GSM3334328","GSM3334329","GSM3334330","GSM3334331","GSM3334332","GSM3334333","GSM3334334","GSM3334335","GSM3334336","GSM3334337","GSM3334338","GSM3334339","GSM3334340","GSM3334341","GSM3334342","GSM3334343","GSM3334344","GSM3334345","GSM3334346","GSM3334347","GSM3334348","GSM3334349","GSM3334350","GSM3334351","GSM3334352","GSM3334353","GSM3334354","GSM3334355","GSM3334356","GSM3334357","GSM3334358","GSM3334359","GSM3334360","GSM3334361","GSM3334362","GSM3334363","GSM3334364","GSM3334365","GSM3334366","GSM3334367","GSM3334368","GSM3334369","GSM3334370","GSM3334371","GSM3334372","GSM3334373","GSM3334374","GSM3334375","GSM3334376","GSM3334377","GSM3334378","GSM3334379","GSM3334380","GSM3334381","GSM3334382","GSM3334383","GSM3334384","GSM3334385","GSM3334386","GSM3334387","GSM3334388","GSM3334389","GSM3334390","GSM3334391","GSM3334392","GSM3334393","GSM3334394","GSM3334395","GSM3334396","GSM3334397","GSM3334398","GSM3334399","GSM3334400","GSM3334401","GSM3334402","GSM3334403","GSM3334404","GSM3334405","GSM3334406","GSM3334407","GSM3334408","GSM3334409","GSM3334410","GSM3334411","GSM3334412","GSM3334413","GSM3334414","GSM3334415","GSM3334416","GSM3334417","GSM3334418","GSM3334419","GSM3334420","GSM3334421","GSM3334422","GSM3334423","GSM3334424","GSM3334425","GSM3334426","GSM3334427","GSM3334428","GSM3334429","GSM3334430","GSM3334431","GSM3334432","GSM3334433","GSM3334434","GSM3334435","GSM3334436","GSM3334437","GSM3334438","GSM3334439","GSM3334440","GSM3334441","GSM3334442","GSM3334443","GSM3334444","GSM3334445","GSM3334446","GSM3334447","GSM3334448","GSM3334449","GSM3334450","GSM3334451","GSM3334452","GSM3334453","GSM3334454","GSM3334455","GSM3334456","GSM3334457","GSM3334458","GSM3334459","GSM3334460","GSM3334461","GSM3334462","GSM3334463","GSM3334464","GSM3334465","GSM3334466","GSM3334467","GSM3334468","GSM3334469","GSM3334470","GSM3334471","GSM3334472","GSM3334473","GSM3334474","GSM3334475","GSM3334476","GSM3334477","GSM3334478","GSM3334479","GSM3334480","GSM3334481","GSM3334482","GSM3334483"
"hsa-let-7a-5p",8.644,8.644,8.644,8.644,8.644,8.644,11.102,9.543,12.023,14.78,15.583,14.266,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,11.699,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,13.474,10.817,12.404,15.193,8.644,8.644,8.644,8.644,8.762,15.153,15.289,15.054,14.67,15.841,13.395,13.215,14.575,8.644,14.996,12.243,14.645,14.707,10.315,14.512,14.093,15.409,15.445,13.706,14.023,15.298,14.858,15.193,14.593,14.421,14.728,14.644,14.75,14.879,15.1,15.287,14.893,15.281,14.541,15.779,14.866,15.645,15.739,14.911,15.065,14.183,13.568,15.139,14.689,15.078,15.391,15.699,15.315,13.203,14.14,15.536,15.491,15.679,15.869,15.368,15.273,14.37,12.807,14.998,15.089,15.815,14.573,14.637,13.801,8.644,14.97,14.504,14.548,15.452,15.546,13.731,14.842,14.913,13.925,14.479,15.328,15,14.005,15.502,13.913,14.212,14.744,15.138,15.454,14.878,15.455,14.349,15.518,15.307,14.933,13.075,8.644,13.671,15.577,15.645,15.015,14.024,14.792,15.64,14.817,15.485,15.77,15.395,15.697,15.969,15.639,14.517,15.679,15.566,15.88,15.62,14.298,14.726,15.637,15.893,15.733,15.772,15.462,15.35,15.41
"hsa-let-7a-3p",8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,11.017,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644
"hsa-let-7a-2-3p",8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,10.015,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644
"hsa-let-7b-5p",10.599,8.644,8.644,10.854,8.644,8.644,14.767,14.71,14.93,15.633,15.965,14.618,8.644,8.644,14.525,12.491,8.644,12.571,10.938,12.416,13.252,8.644,8.644,10.362,14.33,8.644,13.791,11.42,8.644,8.644,8.644,8.644,8.644,8.644,14.648,11.437,14.169,11.012,12.864,12.18,8.644,8.644,8.644,9.409,12.682,11.834,8.712,10.813,11.099,13.797,10.227,15.141,13.775,15.159,14.442,8.644,13.959,13.631,8.644,14.487,14.984,14.971,14.828,14.6,15.768,13.396,13.764,15.065,10.261,14.816,12.63,14.743,14.92,12.104,14.251,14.168,15.118,15.292,13.977,14.281,15.167,14.762,15.114,14.713,14.366,15.11,14.882,14.949,15.143,14.997,15.328,15.183,15.026,14.627,15.545,15.169,15.722,15.966,15.185,15.207,14.459,14.117,15.405,14.923,15.246,15.449,15.473,15.414,13.407,14.483,15.506,15.745,15.509,15.808,15.331,15.078,14.571,13.122,15.373,15.171,15.581,14.734,14.497,14.219,10.118,15.141,14.243,14.233,14.769,15.286,13.932,14.269,14.426,13.537,13.786,15.199,14.745,13.782,15.218,14.155,14.437,14.949,15.317,15.554,14.733,15.148,14.1,15.381,14.997,14.769,13.226,11.572,13.945,15.762,15.753,14.943,13.995,14.679,15.732,14.682,15.456,15.567,15.47,15.518,15.929,15.544,15.038,15.452,15.65,15.771,15.395,14.927,14.991,15.389,15.875,15.682,15.712,15.323,15.451,15.045
"hsa-let-7b-3p",8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,9.378,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,11.801,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644
"hsa-let-7d-5p",8.644,8.644,8.644,8.644,8.644,8.644,8.723,8.644,10.488,13.769,14.948,13.768,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,9.824,8.644,8.644,8.644,8.644,8.644,8.644,8.644,9.247,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,12.366,8.644,11.285,14.341,8.644,8.644,8.892,8.644,8.644,12.989,13.582,14.209,13.203,14.889,11.405,10.948,13.111,8.644,14.185,10.842,13.085,13.82,8.644,12.829,12.889,15.016,14.623,12.56,12.935,14.735,13.261,14.363,13.618,12.821,13.633,13.752,13.647,14.141,14.289,14.703,13.688,14.709,13.135,15.389,13.02,14.682,14.561,13.696,14.33,12.216,12.441,13.871,13.406,14.372,14.623,14.83,14.771,11.092,13.131,14.774,15.158,14.74,15.446,14.85,14.285,12.356,10.457,13.339,13.081,14.772,12.587,11.981,11.21,8.644,12.004,13.195,13.323,14.012,14.517,12.422,12.469,13.069,10.515,12.39,14.469,13.865,12.922,14.652,12.973,13.265,14.153,14.428,14.39,13.967,14.778,12.403,14.89,14.12,14.114,11.772,8.846,12.531,14.592,15.034,13.946,12.751,14.047,15.141,13.188,14.749,14.767,14.524,14.737,15.489,14.817,13.558,14.588,15.003,14.931,14.364,11.388,13.894,14.774,15.713,14.697,14.999,14.322,14.358,14.552
"hsa-let-7d-3p",8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,13.352,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.898,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644
"hsa-let-7e-5p",8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,12.753,11.21,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,11.342,8.644,8.644,8.644,8.644,8.644,8.644,9.128,10.004,8.644,11.983,8.644,8.644,8.644,8.644,10.684,8.644,8.644,8.996,8.644,8.644,9.866,12.754,11.659,8.644,8.644,11.921,9.426,11.558,8.644,8.644,10.908,10.548,10.234,10.706,10.962,11.475,8.644,12.153,8.644,12.838,8.644,11.69,9.923,8.644,11.348,8.671,8.644,10.064,9.608,11.309,11.971,13.4,12.04,8.644,8.644,12.424,13.174,12.185,13.9,12.106,10.413,8.644,8.644,9.488,8.644,11.512,8.644,8.644,8.644,8.644,8.644,8.644,8.644,9.638,11.943,8.644,8.644,8.644,8.644,8.644,11.292,10.169,8.644,12.817,8.644,9.929,11.481,11.24,8.644,10.475,13.453,8.644,12.246,10.558,10.327,8.644,8.644,8.644,11.191,9.841,9.466,8.644,11.007,11.545,8.644,10.931,12.787,10.529,11.528,13.087,12.406,8.644,11.497,10.969,12.495,8.767,8.644,8.644,11.719,13.918,10.464,10.839,8.644,8.747,10.579
"hsa-let-7e-3p",8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.673,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,12.087,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644
"hsa-let-7f-5p",8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,12.564,14.616,13.845,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,14.607,8.644,8.644,8.644,8.644,8.644,13.402,14.047,14.649,13.066,15.366,11.382,10.658,12.505,8.644,14.445,10.77,13.577,13.662,8.644,13.445,13.141,15.212,15.023,12.188,12.876,14.678,13.378,14.622,13.705,12.344,13.363,13.478,13.527,13.72,14.412,14.446,12.668,14.689,12.203,15.389,12.394,14.757,14.38,13.43,14.495,12.424,12.17,13.767,13.153,14.25,14.608,15.356,15.133,11.112,12.255,15.043,14.605,15.252,15.668,15.057,14.442,11.068,9.915,13.231,12.918,15.385,12.719,12.407,11.395,8.644,12.472,13.466,13.648,14.356,14.772,12.067,12.761,13.296,11.026,12.8,14.618,13.598,12.262,15.179,12.446,13.293,14.112,14.333,14.473,14.377,15.188,13.08,15.298,14.518,14.264,10.838,8.644,11.97,13.875,14.081,13.855,12.112,13.947,15.084,13.267,15.154,15.293,14.267,15.078,15.694,15.081,13.321,15.079,14.8,15.351,14.673,9.826,13.474,15.4,15.803,14.891,15.038,14.666,14.444,14.711
