"","GSM4292511","GSM4292512","GSM4292513","GSM4292514","GSM4292515","GSM4292516","GSM4292517","GSM4292518","GSM4292519","GSM4292520","GSM4292521","GSM4292522","GSM4292523","GSM4292524","GSM4292525","GSM4292526","GSM4292527","GSM4292528","GSM4292529","GSM4292530","GSM4292531","GSM4292532","GSM4292533","GSM4292534","GSM4292535","GSM4292536","GSM4292537","GSM4292538","GSM4292539"
"hsa-miR-100-5p",13.2774327085901,12.0620461377205,13.1366707623418,13.5766024407715,14.1854174910981,13.7010898248172,12.3083390301394,10.4398308839814,11.6174674652942,12.7952279660287,12.9747730678893,13.8271441909843,11.4512111118323,12.8091652053719,12.6840911065291,13.0162859821088,9.1006623390052,14.0810672800613,14.336924914182,12.8085620299575,14.9035523827126,13.1060721443725,13.047635173725,12.8031220729354,13.2080819099811,12.952377251968,12.9408641390496,12.6862816551444,12.0858043802781
"hsa-miR-101-3p",9.54689445988764,9.89330153086056,9.45532722030456,9.80413102118332,10.8540891798706,10.1636496760158,9.17492568250068,6.61470984411521,6.33985000288462,8.49585502688717,8.4093909361377,9.43462822763673,7.48381577726426,8.25266543245025,8.75822321472672,8.56605403817109,4.90689059560852,10.0861362250273,10.4532706340106,9.21674585819531,10.4848228942621,9,7.08746284125034,7.24792751344359,7.54689445988764,7.76818432477693,8.93957921431469,8.71080643369935,8.06608919045777
"hsa-miR-101-5p",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"hsa-miR-103a-3p",6.37503943134692,7.13955135239879,6.68650052718322,7.45121111183233,8.84549005094438,7.8703647195834,3.32192809488736,2.32192809488736,3.70043971814109,5.20945336562895,4.70043971814109,5.64385618977472,3.32192809488736,2.32192809488736,3.16992500144231,5.39231742277876,1.58496250072116,8.16992500144231,8.467605550083,6.68650052718322,5.4594316186373,6.14974711950468,3.16992500144231,4.90689059560852,4.4594316186373,3.70043971814109,4.39231742277876,4.64385618977472,3.90689059560852
"hsa-miR-105-3p",1.58496250072116,2.32192809488736,1,0,2,2,2.32192809488736,1,0,1.58496250072116,1,2.32192809488736,1,1.58496250072116,3,2,0,1.58496250072116,2.32192809488736,0,4.58496250072116,2.32192809488736,2,2.32192809488736,0,2.32192809488736,0,2.58496250072116,2
"hsa-miR-105-5p",6.97727992349992,7.32192809488736,6.71424551766612,6.96578428466209,7.59245703726808,7.10852445677817,4.90689059560852,4.52356195605701,6.32192809488736,6.64385618977472,6.33985000288462,7.4262647547021,4.8073549220576,6.84549005094437,5.04439411935845,6.65821148275179,2.32192809488736,7.53138146051631,7.90689059560852,6.06608919045777,7.83920378809694,6.18982455888002,7.22881869049588,7.08746284125034,7.28540221886225,7.03342300153745,7.02236781302845,5.90689059560852,7.16992500144231
"hsa-miR-106a-5p",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"hsa-miR-106b-3p",4.39231742277876,6.35755200461808,4.52356195605701,4.85798099512757,5.6724253419715,3.32192809488736,5.4262647547021,3.70043971814109,4.16992500144231,4.08746284125034,3.70043971814109,4.95419631038687,3.70043971814109,5.49185309632967,4.90689059560852,4.4594316186373,1,4.64385618977472,5.20945336562895,3.90689059560852,5.95419631038687,4.52356195605701,5.83289001416474,6.16992500144231,6.82017896241519,5.16992500144231,4.32192809488736,4.08746284125034,4.85798099512757
"hsa-miR-106b-5p",1,4.39231742277876,2.32192809488736,2.58496250072116,3,2,0,0,0,0,0,0,0,0,0,0,0,2.58496250072116,2.8073549220576,1,2,0,0,0,1,1,0,0,0
"hsa-miR-107",5.90689059560852,6.33985000288462,6.2667865406949,6.89481776330794,8.57742882803575,7.48381577726426,2,1,2.58496250072116,4.52356195605701,4.08746284125034,5.28540221886225,2,1.58496250072116,1.58496250072116,4.32192809488736,0,7.75488750216347,7.49984588708321,6.10852445677817,4.32192809488736,5.64385618977472,2.8073549220576,4.39231742277876,4,2.58496250072116,3.70043971814109,4.08746284125034,3.32192809488736
"hsa-miR-10a-3p",1,1,0,3.58496250072116,3.90689059560852,3.58496250072116,0,0,1.58496250072116,0,0,1.58496250072116,1.58496250072116,1,0,0,0,2.32192809488736,4.08746284125034,2,1,2,0,0,0,0,1,1,0
"hsa-miR-10a-5p",7.32192809488736,7.04439411935845,7.33985000288462,8.12928301694497,8.61838550225861,8.21431912080077,8.19475685442225,5.90689059560852,6.93073733756289,6.76818432477693,6.94251450533924,7.4093909361377,6.32192809488736,8.07681559705083,8.11894107272351,7.15987133677839,2.8073549220576,8.61470984411521,8.83605035505807,7.4757334309664,8.7714894695006,7.64385618977472,8.55458885167764,8.38370429247405,8.70043971814109,8.40514146313634,7.07681559705083,7.02236781302845,7
"hsa-miR-10b-3p",0,1,1.58496250072116,2.32192809488736,3,3.16992500144231,0,0,0,0,0,1,1,1.58496250072116,0,1.58496250072116,0,1.58496250072116,2.58496250072116,0,0,1,1,0,1,1.58496250072116,1,0,0
"hsa-miR-10b-5p",7.40087943628218,6.24792751344359,7.37503943134692,8.31741261376487,8.85798099512757,8.43462822763673,8.02790599656988,6.44294349584873,7.10852445677817,7.32192809488736,7.53138146051631,7.81378119121704,7.33091687811462,8.57742882803575,8.22881869049588,7.02236781302845,3.32192809488736,8.51569983828404,9.18982455888002,7.61470984411521,9.24079133216196,7.63662462054365,8.73131903102506,8.64024493622235,8.99435343685886,8.59991284218713,7.467605550083,7.39231742277876,7.17990909001493
"hsa-miR-1180-3p",2.32192809488736,1,2.8073549220576,3.58496250072116,6.14974711950468,4,1,0,2,2.32192809488736,2.32192809488736,2.32192809488736,1.58496250072116,1,0,2.58496250072116,1,5.7279204545632,3.4594316186373,2,1,1,1.58496250072116,4.95419631038687,5.35755200461808,0,1,1.58496250072116,2.32192809488736
"hsa-miR-1183",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1185-1-3p",0,0,0,1,0,1.58496250072116,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
"hsa-miR-1197",1.58496250072116,2.8073549220576,2,2.8073549220576,4.16992500144231,3.70043971814109,0,0,0,0,2.32192809488736,1,1,0,0,0,1,3.58496250072116,4.39231742277876,3.58496250072116,2.58496250072116,2.58496250072116,0,1,1,2,2.32192809488736,1.58496250072116,0
"hsa-miR-122-5p",6.18982455888002,5.04439411935845,6.59991284218713,7.8008998999203,8.74819284958946,7.8703647195834,6.8703647195834,6.61470984411521,8.50382573799575,8.67948009950545,8.79766152585376,9.89330153086056,9.89178370321831,11.6040898614692,6.93073733756289,6.82017896241519,3.58496250072116,7.91288933622996,8.15987133677839,6.4757334309664,9.25738784269265,6.39231742277876,7.60733031374961,8.15987133677839,8.19967234483636,7.98868468677217,8.70390357344466,8.19967234483636,8.16490692667569
"hsa-miR-1224-3p",1,3.16992500144231,1.58496250072116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
"hsa-miR-1224-5p",9.56985560833095,7.72109918870718,9.63299519714296,10.6147098441152,10.729620743553,10.0292872269682,10.1749256825007,7.45121111183233,9.64565843240871,10.3772105303886,10.4072677642447,10.9136374280491,7.74819284958946,9.72451385311995,10.4062050054189,10.8041310211833,6.4093909361377,10.4491486453754,10.4878400338231,8.88264304936184,12.2312211807112,8.64745842645492,10.2203783276952,10.4706588740606,10.9772799234999,10.8742129348309,9.77478705960117,9.62388149001346,9.9614496943982
"hsa-miR-1225-5p",0,0,1,1,0,2,0,0,0,0,1,0,0,0,0,0,0,1.58496250072116,1,1,0,0,0,0,0,0,0,0,1
"hsa-miR-1227-3p",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"hsa-miR-1228-5p",0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1237-3p",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-124-3p",11.9388444574662,10.2252074369435,11.8925428166486,12.9209110659235,13.7746841239199,12.9804966361835,8.72109918870719,6.4262647547021,8.96289600533726,10.7116669735643,10.7338627196785,11.2532565797812,6.62935662007961,9.09539702279256,8.17492568250068,10.667111542075,7.07681559705083,13.2610664999994,13.5098986868716,12.1013191544233,10.0834793273318,11.3492812288175,9.283088353024,9.41362792902417,9.96578428466209,9.79279029430106,10.5507467853832,10.0347989625773,9.85798099512757
"hsa-miR-124-5p",3.8073549220576,3.32192809488736,4.16992500144231,3.8073549220576,4.8073549220576,4.64385618977472,0,0,1,2,2.58496250072116,3.70043971814109,1,1.58496250072116,1,2,0,4.39231742277876,5.35755200461808,3.70043971814109,4.16992500144231,3.90689059560852,1.58496250072116,2.32192809488736,2.8073549220576,2.58496250072116,2.32192809488736,1.58496250072116,1.58496250072116
"hsa-miR-1246",0,0,0,0,1.58496250072116,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1.58496250072116,1.58496250072116,2,1.58496250072116,1,0
"hsa-miR-1247-3p",0,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1.58496250072116,1,0,1.58496250072116,0,2.8073549220576,0,1,1
"hsa-miR-1247-5p",2.32192809488736,0,1.58496250072116,3,0,2,1,1,0,1,0,1,1,0,0,1,0,1,1.58496250072116,0,0,1,1.58496250072116,1,1,1.58496250072116,1,0,0
"hsa-miR-1248",0,0,0,0,1.58496250072116,1.58496250072116,0,0,0,0,0,0,0,0,0,1.58496250072116,0,0,0,1,0,0,0,0,0,0,0,0,0
"hsa-miR-1249-3p",1,3.16992500144231,2.32192809488736,3,1,1,0,0,0,1,0,2.58496250072116,0,1.58496250072116,1,0,0,2.32192809488736,2.32192809488736,2.58496250072116,1,1.58496250072116,0,1.58496250072116,2,0,1,1,0
"hsa-miR-1249-5p",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"hsa-miR-1250-5p",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1251-5p",2,3.32192809488736,1.58496250072116,0,1,1.58496250072116,0,0,0,1,1,1.58496250072116,1,2,0,1,0,2.32192809488736,3,2,1.58496250072116,2.32192809488736,0,0,2.32192809488736,1.58496250072116,0,2,2.32192809488736
"hsa-miR-1255a",0,0,0,0,0,0,1.58496250072116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1255b-5p",0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.58496250072116,0,0,0,1,0,0,0,0
"hsa-miR-125a-3p",7.72109918870718,5.55458885167764,7.90689059560852,8.62570884306447,9.13955135239879,8.5352753766208,7.3037807481771,5.58496250072116,7.70735913208088,7.89481776330794,8.02790599656988,8.63662462054365,5.61470984411521,7.39231742277876,6.83289001416474,8.16992500144231,4.16992500144231,8.78135971352466,9.13185696060879,7.52356195605701,8.86727873970966,7.81378119121704,8,8.25266543245025,8.5077946401987,8.13442632022093,7.32192809488736,7.35755200461808,8.05528243550119
"hsa-miR-125a-5p",6.55458885167764,9.41151098801207,6.68650052718322,8.54303182025524,8.39231742277876,8.65463602852797,6.76818432477693,4,5.16992500144231,5.20945336562895,5.55458885167764,4,4,3.8073549220576,6.04439411935845,6.75488750216347,2.8073549220576,8.81057163474115,9.66711154207503,8.05528243550119,3.90689059560852,6.8703647195834,6.22881869049588,4.70043971814109,5,6.5077946401987,6.28540221886225,5.16992500144231,4.8073549220576
"hsa-miR-125b-1-3p",9.29232163280204,7.90689059560852,9.41151098801207,10.2992080183873,10.7465143211385,10.1484765821783,10.1749256825007,7.4093909361377,9.43671154213721,10.1124395067816,10.2514824106202,10.7557221536423,7.97727992349992,9.61838550225861,9.64385618977473,10.2082343583398,6.56985560833095,10.427312844135,10.8057438721516,9.11634396123747,11.1743015444676,9.19475685442225,10.1150436501617,10.2419831496943,10.5206186805563,10.4858293087019,9.91288933622996,9.67595703294175,9.82495874052852
"hsa-miR-125b-2-3p",8.19967234483636,8.63662462054365,8.10852445677817,8.62570884306447,9.01959072835788,8.57742882803575,7.467605550083,5.70043971814109,6.24792751344359,7.77478705960117,7.96578428466209,8.97154355395077,6.02236781302845,7.39231742277876,7.55458885167764,7.96000193206808,4.16992500144231,8.96289600533726,9.33091687811462,7.92481250360578,8.99435343685886,7.96000193206808,7.82017896241519,7.58496250072116,7.52356195605701,7.49185309632967,8.17990909001493,7.76818432477693,7.36632221424582
"hsa-miR-125b-5p",12.720030446499,10.4563544151083,12.3633134643735,13.5620038636516,13.9765641234153,13.5810828637542,10.3331553503106,6.95419631038687,10.8749813476538,11.2697111211428,11.871135184243,11.0967151544885,8.37068740680722,9.11374216604919,9.76983784362944,11.2691266791494,7.48381577726426,13.6097558854237,14.0866338490762,13.0026392379595,7.467605550083,12.0973737689902,10.3128829552844,9.90989308377004,10.5689061545021,11.5901191741072,11.5289424150649,10.8517490414161,9.58308276750293
"hsa-miR-126-3p",8.72451385311995,9.40726776424473,8.48381577726426,9.34651373316563,10.1267044728432,9.63481105017172,6.37503943134692,5.28540221886225,6.49185309632967,7.56985560833095,7.58496250072116,8.19475685442225,6.08746284125034,7.3037807481771,6.56985560833095,8.51175265376738,4.16992500144231,9.58308276750293,10.8073549220576,8.61838550225861,9.01680828768655,8.58496250072116,6.85798099512757,7.05528243550119,7.43462822763672,7.09803208296053,7.56224242422107,7.64385618977472,7.10852445677817
"hsa-miR-126-5p",4.08746284125034,3.16992500144231,2.58496250072116,4.70043971814109,5.88264304936184,5.4262647547021,0,1,0,1.58496250072116,1,2.8073549220576,0,0,1,1.58496250072116,0,4.52356195605701,6.7279204545632,4.85798099512757,1,2.58496250072116,0,1.58496250072116,1,0,1.58496250072116,1.58496250072116,1
"hsa-miR-1260b",0,1.58496250072116,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1.58496250072116,0,0,0,0,0,1,0,0,0,0
"hsa-miR-1264",2,3.4594316186373,0,2.8073549220576,3.8073549220576,2.32192809488736,0,0,0,1,0,0,0,1,0,0,0,2.8073549220576,3,1.58496250072116,0,1,0,0,1.58496250072116,0,0,1.58496250072116,2
"hsa-miR-127-3p",10.6402449362223,10.7523806465529,10.868822554775,10.3128829552844,10.7108064336994,10.0443941193585,10.1535520317081,9.14974711950468,10.0347989625773,10.2312211807112,10.1823943534045,11.0960562391809,9.0389189892923,10.5255208090951,10.6017707884077,10.6183855022586,6.06608919045777,10.7321674256634,11.0834793273318,9.44708322620965,12.871135184243,10.5526690975143,11.6456584324087,11.7714894695006,11.9410476063406,11.6483575820097,10.3049216695817,10.1267044728432,10.4563544151083
"hsa-miR-127-5p",5.20945336562895,5.6724253419715,5.04439411935845,5.39231742277876,6.08746284125034,5.4262647547021,3.4594316186373,1,0,3.90689059560852,4,4.75488750216347,2.8073549220576,2.32192809488736,2.58496250072116,4.08746284125034,0,6.16992500144231,5.83289001416474,4.32192809488736,5.55458885167764,5.16992500144231,2.8073549220576,4.08746284125034,3,3.16992500144231,4.24792751344359,3.4594316186373,3.8073549220576
"hsa-miR-1270",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"hsa-miR-1271-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"hsa-miR-1273c",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"hsa-miR-1273h-3p",1,0,2,1,3.16992500144231,1,2.32192809488736,1.58496250072116,2,2,2.32192809488736,2,0,1.58496250072116,3.4594316186373,3,1,1,2.32192809488736,1.58496250072116,2.32192809488736,1,2.32192809488736,2,2.32192809488736,3.4594316186373,2,2,1.58496250072116
"hsa-miR-1273h-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"hsa-miR-1277-5p",0,1.58496250072116,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2.32192809488736,0,0,0,0,0,0,0,0,1,0
"hsa-miR-128-1-5p",1,2,2.32192809488736,2,2.32192809488736,2.58496250072116,2,1.58496250072116,1,2,1,2.8073549220576,1.58496250072116,1,0,0,0,1,3.32192809488736,1,3.90689059560852,2.58496250072116,1,2.8073549220576,3.16992500144231,2.8073549220576,1,1,1.58496250072116
"hsa-miR-128-2-5p",0,2.32192809488736,1,2,1,1,2.8073549220576,1.58496250072116,2,0,0,1.58496250072116,0,1,2.32192809488736,2,0,2.58496250072116,2.58496250072116,1,3,0,1,2,2.32192809488736,3.8073549220576,1,1,1
"hsa-miR-128-3p",13.9650627567446,15.0174609038594,13.8317030992143,15.6137031487699,15.961359251804,15.5357310076973,13.4719291876417,10.3739526553702,12.9607259948391,14.3146540461804,14.4650561678312,13.9125151448024,11.9596397643642,12.9059510351449,13.1530769661067,14.007903273382,10.5176693881338,15.9215852822486,16.2743417505101,14.8552091524503,14.8721457950841,13.9082049531259,13.8187818722754,12.7198166030181,13.1830150008828,14.0953970227926,14.7921802322548,14.0919311862165,13.5502658068687
"hsa-miR-1283",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1284",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,2,0,0,0,0
"hsa-miR-1285-3p",0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,1.58496250072116,0,0,0,1,0,0,0,0,0,0,0
"hsa-miR-1285-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1287-5p",0,0,0,0,1.58496250072116,0,0,0,0,1,1.58496250072116,0,0,0,0,0,0,0,1,0,0,1,0,1.58496250072116,0,0,0,0,0
"hsa-miR-1288-3p",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.58496250072116,0,0,0,0,0
